ID	relation	seg1_text	seg2_text	annot_A2QD9PJUKW7PKK	annot_A230VUDYOCRZ4N
ComArg_GM_0340	support	I am not gay and hate gay bashing. I am very religious, but I hope not the wrong type of redneckology mentality. I am not one to judge nor can not morally state it is unlawful in God's eyes because I can not actually say it is unlawful according the bible. However there is a passgae that states the marriage is of man and women. My comromise to give the same rights a marrage yet title it in law as Life Partners That ALSO protects the gays, AND makes it much easier to charge a person of a hate crime if they attack gays that are married. SO legally making all states that agree to a legal nationally life partners law also may give the gays more protection from from physical abuse by hate crimes Nationally Legaly More Enforced EASIER and it also would give them Domiestic Violence Protection within this proposed Nationally Legaly Life Partners  law that I feel would be more nationally acceptable. Plus, this is much easier to identify gay couples who also have health insurance needs that actually live healthier life styles in same states than heterosexuals. (I reserach for a living and write to Washington DC offices but will not list these multiple head quarter offices publically.	Major world religions are against gay marriages	neu	neu
AAAI2018_012_25	attack	They should abolish this stuff because it's harmful to our health, our children, and it's expensive too. 	Can give advice to others but can not forbid them to consume cannabis. 	neu	neu
US2016_nodeset10503_002	support	that's where CLINTON's seasoned political background comes into play	you don't see CLINTON constantly interrupting and being childish despite the fact that what she's saying hasn't really been that impactful so far	neu	contradiction
ArgEss_essay270_14	neutral	if they make their plan in the first place, and then stick to their plans, they could get their work done quickly beyond their imagination	it is not need for young people to possess this ability	contradiction	neu
IJCAI2015_07_09	support	I think that this subject is of the responsibility of the government first.	Yes.	entailment	entailment
Web_2392	support	oasthadare we machines choosing between incorrect and correct responses or are we sentient being choosing between good and evil how could you not teach thisthats a good topic for sunday school	id is offered as an explanation for the complexity of life on earth which according to id proponents cannot be explained by random chance and survival of the fittest	neu	neu
QT30_nodeset19176_014	support	Marie van-der-Zyl would prefer xxx of the two, Biden or Trump	historically the Jewish community, 75 per cent of them would usually be voting Democrats	neu	neu
Web_1846	neutral	UKIP is an opportunistic party that exploits the unpopular European Union for political gain.	The Electoral Commission said it accepted the Supreme Court's judgement and it would carefully consider the implications of the judgment for how impermissible donations are dealt with in future.	neu	neu
NK_deb_1540	neutral	But we can always do better and I am determined that we shall do better in quickening the pace of our economic advance and in minimizing interruptions to it . I am determined to undertake every sensible measure to that end , to lift to ever higher levels the number of jobs in America , to reduce unemployment further , and to utilize more fully our industrial capacity in steel and other lines To achieve that goal we must release fully the greatest creative force in human affairs - the spirit of individual enterprise in 180 million Americans . That effort calls for a many-sided program which I have been developing , and will continue to develop , in this campaign .	Unemployment is not inisignificant to the almost 4 million Americans who want to work , but who ca n't find work - almost a quarter of a million of them in Michigan alone - or to the almost 900,000 Americans who have been out of work for more than 15 weeks and who are now classified as  long-term unemployed .  Unemployment is not insignificant to the families of the unemployed - families who are forced to live in substandard homes and are unable to maintain even a subsistence of living in the richest country on earth . Unemployment is not insignificant to the children of the unemployed who are deprived of decent clothing and a decent diet .	neu	entailment
micro_b047_01	attack	and a request for an early termination of a pregnancy is the right of every woman.	The morning-after pill should only be prescribed after counselling by a physician or pharmacist.	entailment	contradiction
Web_2670	attack	first off the human eye did not pop into existence by chance it is the result of billions of years worth of   evolution  	the whole point of bringing up the eye example is to demonstrate that id is an actual theory and not a simple example in which someone proclaims that something is too complex based on their own judgements	neu	neu
IJCAI2015_05_09	support	In short ads are more harmful than helpful. 	I think it's harmful and worse It's insidious because they try to prove they are not harmful even if they know they are. 	entailment	entailment
AAAI2018_09_17	support	 It seems important to mention that even if boys and girls are not learning in the same school it does not mean that they won't meet. 	 Moreover, I'd like to add that there are co-educational schools, men have had their own schools, why should women not? There will still be discrimination if there were only male single-sex schools; thus we need to redress this discrimination. 	neu	neu
JoKialo_causal_75572	support	Citizen Science is beneficial to science.	There are arguments that citizen science is not professional. In that case, it could be said that the professional science manufactures science whereas citizen science practices science. However, the reverse could be true too.	neu	entailment
AAAI2018_07_13	attack	 But my point is, we have to do some open space where somehow we can decide collectively of what is good for us and what is not, look at the drug industry, a lot of things has been proven to be bad and are still soled because it generate money. 	 The government and more precisely the law are there to support parents in the process of growing up their kids. 	neu	neu
AAAI2018_09_11	support	They don't seem to be that much eager to regulate the Internet though. It's a bit like a far-west.	Yes like all forms of regulation. It would take people to the regulate regulators;-)	contradiction	entailment
veri_27	neu	The librarian owns many books.	The librarian recommends his favorite books.	neu	neu
FinARG_MSFT_Q1_2016_17164_6_07	support	so the office commercial business grew 5%.	the way to think about that how is i look at – well, the way i would generally say it is you look at each of the kpis we give.	neu	neu
AbstRCT_17717452_03	support	Other parameters were not statistically different.	In patients undergoing a restorative resection for low rectal cancer, a colonic JP offers significant advantages in function over an SA or a coloplasty.	neu	neu
ArgEss_essay062_00	neutral	Both genders are the fulcrum of the society and none of them is superior or inferior	Equality in education will help in development of the society	entailment	contradiction
JoDeb_causal_2806	support	A progressive tax system is preferred to, for example, a flat tax.	Wealthy benefit more from system, so owe a greater tax debt	entailment	neu
QT50_nodeset29206_009	support	there's absolutely no doubt that the Conservatives' Brexit deal has been devastating for our economy	fishermen have lost out	entailment	neu
AAAI2018_04_18	attack	And almost all wars start because of religion. 	Not all wars begin with religion, but people want to justify their war with the religion for obtaining the help of more men.	contradiction	entailment
NK_deb_0276	neutral	That was the Truman recession of 1949 . Unemployment jumped to almost 5 million . What saved the opposition this time from a dragging economy ? The Korean war .	That should concern us all . 2. My second concern is unemployment . Between November 1957 and August 1960 the rate of jobless workers , seasonally adjusted , has been below 5 percent of the labor force in only 3 months out of 34 .	neu	neu
Webis-Debate_4458	neutral	I prefer the version edited by Pmanderson on 22 Dec 2009 (the version by Gun Powder Ma). That version needs some improvement (some consistency in spelling for one thing), but the version is much superior to the version by Ludwigs2. I do not find the complaint about references persuasive. I do not find that the disputed section has too much prominence. Gun Powder Ma is not creating a relationship between the Roman Empire and taoism. PYRRHON  talk  	I found an explicit reference to the Roman symbols in a work entirely devoted to Taoism. It is, notably, included in a discussion of the history of the Taijitu in the The encyclopedia of Taoism, pp.934-36:	neu	contradiction
FinARG_FB_Q1_2015_17198_9_03	support	with our largest clients, even our large ones, we're not close to 5% of their spend.	and so i think we have a considerable opportunity to grow, and we also expect those underlying numbers time on mobile to continue to grow.	entailment	contradiction
NK_deb_1785	neutral	In other words , disarmament without inspection increases the risk of war . It 's only disarmament with inspection that will reduce the risk of war . So , I pledge to you that , with my colleague , Cabot Lodge , to whom I am going to give special assignments in this field , we will take the initiative at every opportunity to deal with Mr. Khrushchev and to work out whatever arrangement we can that will provide inspection for disarmament , for tests , for all these other items which I am discussing tonight .	Our chief negotiator admitted at the 1958 conference on preventing surprise attacks that we , and I quote him ,  had n't up to this time really given the intense study of the kind of measure which would make this kind of measure possible ,  had not even intense study to the very program that they were then putting forward . A year ago when we went to the disarmament conference , we appointed an attorney from Massachusetts to set up an ad hoc committee . That committee met for 3 months .	neu	neu
US2016_nodeset10596_003	attack	Even if that was true, at least CLINTON can form complete sentences	That's all CLINTON's got	contradiction	entailment
ArgEss_essay294_03	neutral	my university is not in the high-ranking list, he gained a reputation by those projects	The research projects like windows opened to the wider world	entailment	entailment
ArgEss_essay018_00	neutral	They are not ready to be bound in certain limitations	we must give them opportunity to achieve their goal	neu	neu
US2016_nodeset10456_002	attack	Republican hawks are to blame for the rise of ISIS	Only ISIS is responsible for the depravity	contradiction	entailment
Webis-Debate_2519	support	"As it stands, this article gives an overview the history of Western music and ignores the history of musicians from other, non-European cultures around the world. Also, like Wahoofive above, I have to question this article's current focus on composers and trends in composing, given that the article title is ""Musician"". If I searched for the term ""musician"", I would expect an article more about different types of musicians and their instruments than about the history of Western composition... wouldn't you?"	. This article has a very unbalanced point of view. Despite it is not meant to contain a full list of musicians, some non-Western examples would help a lot. --	entailment	entailment
veri_16	entailment	Peter bought a new suit.	Someone sold Peter a suit.	entailment	entailment
US2016_nodeset10864_003	support	it is hard to heal the divide	Race has been a big issue in this campaign	neu	entailment
IJCAI2015_011_08	support	Yes I agree, customs have to deal with every one equally. 	To summarize, authorities have to show equality between human beings whatever their nationalities behaviors religions and thoughts. 	entailment	entailment
veri_17	contradiction	The student scored 100 percent in the exam.	The student failed the exam.	contradiction	neu
NK_deb_1748	attack	But I can take no satisfaction in them . I can take no satisfaction in coming to this valley and seeing pottery mills , seeing steel mills working part time , seeing rivers that are polluted , seeing an administration which has twice vetoed the area redevelopment bill , which has vetoed a hill to clean our rivers , which has vetoed twice in the last 12 months a housing bill , which considers $ 1.25 minimum wage an extreme , which considers medical care for the aged as extreme , and I quote Mr. Nixon accurately . I stand tonight in this city of Salem , in the State of Ohio , where Franklin Roosevelt stood and Woodrow Wilson , and I come here tonight and ask your help in this campaign .	It is very easy to talk about all the programs you 're for , but when they had the opportunity , as they have had the opportunity during these past years , they were not able to move forward in these areas in which they have talked . Now , let 's look at some of these programs , and particularly one that will be of great interest to this audience here , the program of medical care for the aged . We stand for a program which recognizes this program , recognizes it because we know that all of our families in this country want to see to it that our older citizens not only are well cared for , but that they have the opportunity to get care particularly when illnesses of serious nature strike .	neu	entailment
ArgEss_essay218_04	neutral	I did not have to worry about costs and other things, I just had fun and learned	in childhood most people are happier than in adulthood	neu	entailment
IBM_stance_2103	support	This house believes that advertising is harmful	The steady normalization of invasive advertising dulls the public’s perception of their surroundings	entailment	entailment
QT30_nodeset21324_002	attack	you've made that choice	Robert Buckland disagrees with Lisa Nandy's analysis here	neu	neu
Web_3531	attack	you did not ask for a quote which says we should ban guns and you posed the question to anti gunners you did not ask for anti gun comments	so if you quoted ted kennedy when he said to his wife in an event that was not even publicized good morning sweetie that would be an answer	neu	neu
UKP_gun_control_1816	attack	Gun laws should be more restrictive.	"57 % of people surveyed by Pew Research in Feb. 2013 said that gun control laws would "" give too much power to the government over the people . """	contradiction	contradiction
micro_k021_01	support	The rich and poor live in different neighbourhoods.	A fixing of rent prices according to the market alone, however, will lead to a further division of society.	entailment	entailment
NK_deb_1050	support	It seems to me it would have been far more valuable for us to be striking a blow for freedom , to stand for freedom , to use our great influence , which we had in Cuba at that time to persuade Batista to hold free elections , so that the people of Cuba could have a free choice . The fact of the matter is that when I was in Cuba 4 years ago , the American Ambassador said to me he was the second most powerful man in Cuba . Today the Soviet Ambassador is , and the reason is because the United States did not use its influence .	Secondly , also before the threat reached that stage , each of these areas had been visited by Mr. Richard Nixon . Why was not our Latin American capital investment program strengthened in 1958 , after Mr. Nixon was there , instead of this summer at the point of Mr. Castro 's gun ? Why did we not encourage free elections in Cuba after Mr. Nixon was there in 1955 , in order to stave off a revolt against what he called in a Havana press conference in 1955  the competence and stability  of the Batista dictatorship ? Why are we suddenly embarking now on a crash program for African scholarships for students ? Last year we allocated no scholarships at all to the Congo , practically none to other French and Belgian colonies and , indeed , practically none to the continent of Africa itself . We have allocated more scholarships this summer to the Congo than we allocated to all of Africa a year ago .	neu	contradiction
FinARG_MSFT_Q4_2016_17188_6_02	support	but our first priority, every time, is to make sure we are focused on annuity growth and digital transformation at our company, which is best done through that motion.	but at the same time, we still will focus on those deals moving to the cloud over time.	entailment	neu
FinARG_FB_Q1_2017_17610_7_05	support	and then rest-of-world, we saw a rebound in latin america, especially brazil, so we're seeing some particular strength there.	so i think that i think was a big highlight.	entailment	entailment
Web_0674	neutral	UKIP are an independent party and have shown that their appeal is broad, making big dents in staunchly Labour voting areas as well as the recent bi-election successes.	The prime minister has said he would like to repatriate powers in certain areas before holding a referendum, although he has not spelt out in detail what they are.	neu	entailment
veri_13	contradiction	A penguin is a bird that cannot fly.	All birds can fly.	contradiction	neu
FinARG_FB_Q1_2019_17728_7_01	support	we have worked on some voice products on portal; that’s an important way that people interact.	and so we’re certainly very focused on things like video calling and voice calling and ways that people can communicate with voice.	entailment	entailment
Web_1789	attack	If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.	Mr Farage has successfully broadened UKIP's appeal away from Europe.	neu	entailment
QT30_nodeset20304_006	support	we should close borders to entirely all countries	we permitted the virus to re-enter the country	contradiction	neu
JoKialo_causal_104392	attack	Those not wanting to risk bodily harm can simply serve outside the military. Examples include education, community activism, non-profit, international NGO, community farming, public works, etc.	Those whom chose military service may change their minds, and regret their decision.	neu	contradiction
JoDeb_causal_2200	support	Biofuels as a solution to global warming are good.	Carbon neutral biofuels only emit CO2 they draw from atmosphere	entailment	entailment
JoKialo_causal_124371	attack	Paper is a renewable resource and is biodegradable, while ebook readers are not produced from renewable resources and are vulnerable to planned obsolescence.	Most users have a smart device regardless of weather they read e/paper books or not.	neu	contradiction
QT30_nodeset23874_005	support	Thangam Debbonaire is glad that the government has heeded the call of her colleague, the Shadow Minister of Sport	we have been calling for many a long year for fans to be in charge of what happens in their clubs	neu	neu
QT50_nodeset29076_008	support	the third thing which this Government must do, is make now the changes to social care	one in eight beds are blocked by somebody who can't go into a care home	entailment	neu
AAAI2018_010_10	support	We definitely can't ban partial birth abortion if the life of the baby or the mother or the parents is in danger.	Abortion is legal and it doesn't matter much when and how. It's an individual choice for whatever reason it might be.	contradiction	contradiction
NK_deb_1467	attack	 Let me tell you about disarmament . When people say ,  I 'm for disarmament ,  and when some people write to me and say  Why , when Mr. Khrushchev comes over and says he 's for total disarmament - why do we have to insist on inspection ? Why ,  they say ,  could n't we just do it ? Would n't that be real leadership in the world ? Would n't that be bold and imaginative ?  Yes , it would ; but do you know what would happen ? The moment the United States ever enters into an agreement for disarmament , which would result in increasing his strength as against ours , we do n't help the cause of peace . We hurt it , because - why is America the guardian of peace today ? Because we 're the strongest nation in the world , and the difference is : We do n't want to use our strength for anything except to keep the peace .	 It is only when we have a military force strong enough to convince the Russians that they 'll never be able to gain any advantage through military strength , only when we can approach the conference table in a position of equality , only then can we hope for fruitful negotiation . Second , we must establish an arms control research institute , under the direction of the President , to undertake , coordinate , and follow through on the research , development , and policy planning needed for a workable disarmament program . Detection and monitoring systems will require new techniques of aerial reconnaissance and radar surveillance , new uses for our communications systems , computers , and cameras , new ways to denature plutonium and inspect power reactors , and a whole host of additional research projects .	entailment	entailment
QT50_nodeset29068_005	attack	we would fund the recruiting by ending the non-dom tax status	ending non-dom tax status is not going to cover NHS recruitment costs though	contradiction	contradiction
FinARG_FB_Q4_2017_17663_7_00	support	e-commerce is and remains and was one of our strongest verticals in q4, and we think we're doing an excellent job of building the right products for e-commerce retailers.	so i think we're very well positioned in the e-commerce space.	entailment	entailment
veri_19	contradiction	The cat is alive.	The cat is dead.	contradiction	contradiction
JoDeb_norm_9361	support	The US should adopt policies to deport all illegal immigrants.	Democrats oppose deporting illegals because they are potential voters.	contradiction	contradiction
ArgEss_essay185_08	neutral	Latest studies have shown that these renewable resources of energy are problematic as well and they are very likely to pose long-term environmental hazards	these new forms of energy may not be as clean and green as we think	entailment	entailment
