ID	relation	seg1_text	seg2_text	annot_A17R7WX5B0CKK6	annot_AMHLSGAD2KWA6
micro_k010_01	support	By now you have advertising on all channels,	so there's no advantage for the current paying viewers of the public broadcasters.	entailment	entailment
AAAI2018_012_19	attack	YES CANNABIS SHOULD BE LEGALIZED, CONSUMMATION IS A PERSONAL LIBERTY. 	And even they want to legalize it in order to avoid or minimize money they invest to stop cannabis traffic is not a good project. 	contradiction	contradiction
QT30_nodeset24992_026	support	as well as the £10 billion, there is sings this we've which will benefit the people who need it most	£10 billion is a lot to spend on doing the basics to save lives	neu	contradiction
micro_d08_01	attack	and the mood in the stock market could be better on the whole,	you should buy IBM shares if you want to invest.	contradiction	neu
AAAI2018_07_06	support	 I believe even if a parent has the right to decide whether or not to vaccinate their children, the should still be somewhat obligated to do it since the pros largely out-weigh the cons ( risk of autism for example) sorry for being late by the way. 	 Come on, it is not the middle age, if the law says you must then you must. Parents do not have the competences to choose if a vaccine is good or not. It should be an higher authority to do that, like public institutions etc. 	entailment	contradiction
veri_19	contradiction	The cat is alive.	The cat is dead.	contradiction	contradiction
micro_k006_00	attack	If Germany were to introduce the death penalty, convicted felons could not be paroled or break out of prison and commit new felonies.	We don't need it.	contradiction	contradiction
ArgEss_essay318_03	neutral	Capitalism enfranchised people's right to own properties, and consequently, their rights to use them	charging them extra fee might seems to be out of the jurisdiction	neu	neu
micro_b028_02	support	There are other instruments to motivate tighter discipline while studying.	The anticipated objectives of tuition fees can be achieved by other means.	contradiction	entailment
micro_b058_01	attack	Perhaps it is less thrilling for a spectator than for the player,	It would be fair to make them into an Olympic event.	contradiction	neu
QT30_nodeset23731_008	support	you need to raise wages and improve working conditions	you want workers such as AudienceMember 20210930QT17 to stay in the job and not to look for one of the million job vacancies that now exist in the UK to go elsewhere to improve their conditions	entailment	entailment
ComArg_GM_0281	neutral	Homosexuality does not have immutable status. There are many reasons why people engage in homosexual behavior, including as a result of being molested by a same-sex individual. How can one say that if discrimination is supposedly occurring for homosexual couples regarding marriage, how is it not the case that polygamists, polyamorists are not being discriminated against? If marriage becomes anything that anyone wants because they want validation for their lifestyle, then the definition is meaningless. For those who don't believe in marriage (male and female for example), why not have the federal government grant benefits (taxes, soc. sec, etc.) to common-law sitiuations? How about if 5 women married 3 men...all should get benefits? What if 1 or 2 want to leave the marriage are the others still married, or will it be required that legal documents be redone? Will children of those marriages have 5 Mommies and 3 Daddies? Who gets the child, if there is a divorce and the child was adopted? Why not allow first cousins, brothers and sisters to marry ( if they are sterile) ? Why not? They may love each other and they may not be able to help it. Why not allow an 82 year old man to marry a 14 year old boy (if that's the age of consent)	Major world religions are against gay marriages	contradiction	neu
ComArg_GM_0647	neutral	Just because I'm not going to marry a woman, doesn't mean I have the right to take that away from someone else. Skin is skin. Love is love. And if two men want to marry each other because they are madly in love, how does that concern me in even the slightest? And for you Jesus-loving Christians, aren't we supposed to accept everyone for who they are? Doesn't god want all of his children to be themselves?	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	entailment	entailment
UKP_nuclear_energy_0256	neutral	Nuclear energy is a good energy source for the future.	The result is an inefficient loss of electrical energy .	contradiction	contradiction
veri_05	neu	The development of video games is time consuming.	Children love to play video games.	neu	neu
ArgEss_essay204_03	neutral	During student's free time, they have a number of activities that they can join, such as playing sports, going to lab, or going to library	classroom learning provides other activities than studying	neu	neu
NK_deb_1302	neutral	Africa could determine to make itself free . Cuba could change . All these things could move in one direction or another in the next 10 years .	For example , while in August of 1958 we sent $ 42 million worth of goods to Cuba - this August we sent only $ 18 million worth as a result of Castro 's deliberate policy of cutting American exports . And , as the New York Times points out this morning , the goods which are now cut off , are the very goods whose export has been declining - while the goods which Cuba can still buy - such as foodstuffs and pharmaceuticals - are the goods whose export has declined relatively little . In addition , the State Department admits that Castro has refused to pay for about one-quarter of the American goods he has received since coming into power .	neu	neu
ArgEss_essay158_01	neutral	the preservation is very expensive because all components of old buildings have historical values	governments can construct more accommodation instead of preserving old buildings	contradiction	contradiction
US2016_nodeset10280_020	attack	I can't believe people were that dumb to clap for that	it's hard for me to be convinced that you can't believe people were that dumb to clap for that	contradiction	contradiction
Webis-Debate_2666	support	The Jesus of the Gospels very clearly predicts that the world will end during the lifetime of his disciples. This list first neglected to use his name and only mentioned the apostles and early Christians. Now the whole prophesy is removed. Pathetic case of special pleading. The failed prophesy should be put back into the article, and under Jesus' name as the person who made it and was wrong.74.90.94.99 (talk)	Just because it was Jesus who was wrong does not mean this should be taken from the article.	contradiction	contradiction
JoKialo_causal_57649	neutral	One of the top reasons for divorce is 'unfulfilled sexual desire'	In Germany, credit cards are not comparable to credit cards in the US, where you can accrue credit card debt, but are more like debit cards where you cannot significantly outspend whatever you will earn or have on your bank account.	neu	neu
UKP_death_penalty_2417	support	Death penalty should be an option in the penal code.	It deters would-be criminals to commit felonies .	entailment	neu
veri_06	neu	International conflicts become more and more frequent.	International conflicts are harmful to the economy.	entailment	neu
IJCAI2015_01_01	support	I don't think the animal testing should be banned, but researchers should reduce the pain to the animal.	May be we should create instructions to follow when we make tests on animals. Researchers should use pain killer just not to torture animals.	entailment	entailment
IBM_stance_0440	support	This house would ban gambling	electronic funds transfers inherent in online gambling are being exploited by criminal interests	neu	neu
veri_08	entailment	Tina visited the Colosseum when she was in Rome.	Tina was in Italy.	entailment	entailment
ArgEss_essay169_12	neutral	Through to use the equipment and invent their own work, they may get more experience in the process of research	professors could teach students through research and projects	entailment	neu
IBM_stance_0111	support	This house supports the one-child policy of the republic of China	reduction of the population is a key to economic growth	entailment	neu
QT50_nodeset29350_008	support	Action Fraud won't even record the fraud attempt	someone tries to have a go at you	neu	neu
QT30_nodeset21731_009	attack	when Jeremy Corban is interviewed he's asked about his clothes, ties, glasses	clothes are not relevant to politics	contradiction	contradiction
AbstRCT_23945243_00	attack	although with different AEs.	The effects of Pemetrexed and Gefitinib as second line therapy were similar,	entailment	neu
IJCAI2015_010_09	support	Abortion is legal and it doesn't matter much when and how. It's an individual choice for whatever reason it might be.	I agree with participant4.	entailment	neu
UKP_gun_control_0916	neutral	Gun laws should be more restrictive.	The federal law says that a person who has ever been involuntarily committed to a mental hospital or who has been found by a court to be mentally defective is prevented from buying a firearm , but that would disqualify a very small number of people .	entailment	neu
veri_04	contradiction	The film has very good critiques.	Critics consider the film as very bad.	contradiction	contradiction
US2016_nodeset10572_032	attack	I still support hand guns though	Hand guns are responsible more gun deaths than AR style rifles	neu	neu
QT30_nodeset18302_004	support	make sure people can navigate their way through what's going to be a difficult period	individuals and businesses have to participate in contact tracing	neu	neu
micro_k010_00	support	In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?	Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming.	entailment	entailment
veri_16	entailment	Peter bought a new suit.	Someone sold Peter a suit.	entailment	neu
US2016_nodeset10254_010	support	both should be held responsible	that person accidentally shoots someone	neu	neu
micro_b010_01	support	Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,	Alternative treatments should be subsidized in the same way as conventional treatments,	entailment	neu
FinARG_AMZN_Q1_2015_17302_9_00	support	as brian said, we're feeding the platform and certainly common thing with category expansion, new fcs, original content, prime instant video devices, prime now.	it’s growing very fast.	entailment	neu
UKP_minimum_wage_0536	neutral	The minimum wage needs to rise and to adapt to the current cost of living.	In 2007 , Neumark and Wascher produced their own massive lit review , in which they tried to hand-select the best studies that had been written since minimum-wage research heated up in the early 1990s .	contradiction	contradiction
FinARG_FB_Q3_2015_17237_7_01	support	because one half is pushed, right, going to news feed and not asking for content but just coming across and discovering it.	and i think this is going to be a very important part of the video experience as well,	entailment	contradiction
Webis-Debate_1721	support	|status = Citroën C-Zero becomes a redirect}}Citroën C-Zero has its own article, but it's just a badge-engineered version of the i-MiEV; designed by MMC, built in Japan... PSA's input is limited to selling it. It wasn't even separately tested by EuroNCAP, just given the same rating as the Mitsubishi. Redirecting is the standard approach on WP for such vehicles. The bizarre thing is that Peugeot iOn is a redirect, but to the Citroen article, not this one.There's little encyclopedic content to merge (i.e. reliable, notable, and verifiable), and would in fact give broader coverage of the i-MiEV's significance, in my opinion. There's even a pre-existing section that the redirects could specifically point to, i.e. Mitsubishi i-MiEV#France. Regards, --	. Both the Citroën C-Zero and Peugeot iOn are mere rebadging exercises of the Mitsubishi i-MiEV. Neither of the cars have any self-defining characteristics that aren't present in the Japanese model. --	entailment	neu
JoKialo_norm_40372	attack	Governments have a duty to intervene militarily in the affairs of nations they believe are doing something immoral.	Intervention may lead to retaliation against the nation.	entailment	contradiction
US2016_nodeset10835_032	support	ultimately that's what WALKER is going to try to do	people've seen it in my state, even in the big challenges WALKER took on when WALKER had over 100,000 protesters in and around our capital, trying to do what WALKER thought was the right thing	neu	neu
FinARG_FB_Q4_2017_17658_7_10	support	gymshark is a fitness clothing brand based in the uk.	if you use our targeting tools well, you can actually start out with demand fulfillment.	neu	neu
UKP_school_uniforms_newFormat_2277	attack	School uniforms should be established in schools.	Children , especially those in middle and high school , are constantly concerned about their appearance , and wearing a school uniform will not alleviate this concern .	contradiction	neu
AAAI2018_010_15	attack	The topic of the second debate is about BANNING PARTIAL BIRTH ABORTIONS.	In the case of malformed or severely sick foetus, I would definitely understand the need to make an abortion in any stage of the pregnancy. Put yourself at the place of the diseased or malformed children makes you wonder if it's better off dead.	contradiction	neu
micro_b048_00	support	Every German citizen has a right to education.	Therefore universities should not charge tuition fees in Germany.	entailment	neu
US2016_nodeset10631_028	support	we have to make this the top priority	USA have to be cognizant of the fact that ISIS has had foreign money	neu	neu
US2016_nodeset10280_041	support	it's sad	yet people still think CLINTON is remotely worthy of presidency	contradiction	neu
JoKialo_norm_40458	support	Honey, beeswax, royal jelly, or bee venom and products made thereof should be banned, even if the products come from organic beekeepers.	The bee species commonly used in commercial beekeeping have a negative impact on the environment.	contradiction	neu
