ID	relation	seg1_text	seg2_text	annot_A29ZTHY1OB4IC8	annot_A36SM7QM8OK3H6
NK_deb_1572	attack	He promises a farm program that would force drastic cutbacks in production and marketing , force 2 million people out of work , trigger off inflation , sharply raise food prices , create food scarcity , and regiment all agriculture by setting up all sorts of new regulations and creating new battalions of Government overseers to watch over and tell every farmer what he could or could not do . He promises to impose a mandatory medical care plan for the aged on every one of the millions of citizens covered by social security , no matter what their personal desires , and leave 3 million Americans with no medical care program at all . My plan would not be compulsory and would provide medical care programs for all those who needed and wanted them .	And to meet the pressing problem confronting men past working age , and their families , we must put through an effective program of medical care for the aged under the social security system . The present medical care program will not send one penny to needy persons without further action by the Congress and the State legislatures . It imposes an ugly needs test-a  pauper 's oath  - for eligibility .	contradiction	entailment
AbstRCT_20026818_02	support	Although patients receiving the current intensity-modulated radiation therapy (IMRT) protocol using the Pinnacle(3) planning system had more toxicity-related treatment delays,	Although patients receiving the current intensity-modulated radiation therapy (IMRT) protocol using the Pinnacle(3) planning system had more toxicity-related treatment delays,	entailment	entailment
AbstRCT_21892106_00	attack	but this did not reach statistical significance (13.1 versus 8.3 months, p = 0.25).	Patients in arm A had longer median survival	contradiction	contradiction
veri_12	neu	An ostrich is a bird.	An ostrich cannot fly.	neu	neu
QT50_nodeset28815_003	attack	nobody is advocating capping rents	capping rents would be a reasonable idea	contradiction	contradiction
ComArg_GM_1151	support	god made a man and a women to to be first on this earth!	Marriage should be between a man and a woman	neu	entailment
ArgEss_essay293_07	neutral	their response will not be recorded and they will not misunderstand the informal discussion to an official claim	if the same words are expressed in talking, the counterparty will feel more relaxed	contradiction	neu
IJCAI2015_07_03	support	I disagree with this idea because I think it is a way to push them to have sex at an early age.	For one thing that it may be a good idea but also a wrong one. Why ? because ok, we can encourage students to protect themselves but we also can encourage them to have more sex.	contradiction	entailment
Webis-Debate_3339	support	::::Let's be clear about the nomenclature. It was always called The Great Famine. That doesn't mean that there weren't other great famines elsewhere in the world, Africa, Ethiopia, Sudan, China and more. But in the English speaking world, and in En/Wikipedia especially, we must adhere to the academic name for this particular episode in Ireland's history. Therefore I reiterate that the name should be The Great Famine. Also we must avoid original research here, and also avoid a brand new neologism. And I take Allie's point, excellent! -	. Only went for Great Irish Famine as a compromise, reaching out to the others. But of course you are right; The Great Famine was always the common name for the Great Genocide. (	contradiction	entailment
NK_deb_0136	neutral	No one group can confine itself to a single aspect of medicine . All of them - medical and dental schools , hospitals and research institutes - provide medical care , teaching and research training . In no other scientific field is there such intense and constant interplay between research , teaching , and practice .	Fifteen million American families live in inadequate housing . The average social security benefit is less than $ 78 a month for someone who is retired , and out of that he has to pay food and housing and medical care . Anyone who says that there is nothing left to do , that all the things that had to be done were done by Truman or Roosevelt , I think is wrong .	contradiction	neu
JoDeb_norm_9544	support	Nuclear Weapons should be abolished.	"Nuclear weapons could fall into terrorists"" hands."	neu	entailment
FinARG_FB_Q4_2016_17295_7_03	support	but it has really important impacts, not just in their ability to serve the right ads to the right person at the right time, but also their ability to optimize their ads for our format.	that once they understand what's really moving their product off shelves, online and off, that's where we get to the real work we need to do to optimize the ad and really work on the targeting.	contradiction	entailment
QT30_nodeset21021_006	support	when we talk about recovery it just can't be a campaign slogan	recovery in the North East is so important	contradiction	entailment
JoKialo_causal_91245	support	The UN is a force for good.	UN is one of the biggest platform to establish peace in the world.	entailment	entailment
ArgEss_essay304_03	neutral	If we don't change our behavior we will extinct many species living for millions of years on the planet	the natural diversity is very important for further generations	contradiction	entailment
ComArg_GM_1051	neutral	Unless... two gay people can create a life, which is why we are here as two opposing sexes. According to the gays, there should be one sex here on the earth. OR .. better yet.. what if the world consisted on only gay people?  There would be no children. Is that normal? Is this what God intended?   It is not natural and normal to bbe gay. It is a handicap.It is a chemical imballance. OR.. a choice. A handicap is a defect that can't be helped.However.. no one says this. That leads me to believe it is a choice then. Children need both opposing sexes. Unless.. the gays plan to re write the child care books on children's natural development.  Children are a sponge. Children will pick up on the abnormality of having two of the same sex parents which is not normal. For the gays to pretend their kind is normal is abnormal and society is starting to buy into it.	It is discriminatory to refuse gay couples the right to marry	contradiction	contradiction
veri_11	neu	School uniforms are very common in the United Kingdom.	School uniforms help to reduce social differences.	neu	neu
FinARG_MSFT_Q4_2016_17196_6_00	support	and i would say if anything, the initial data from our customers around security is gaining a lot of traction.	and e5 value proposition across all three of the areas, whether it's cloud voice or analytics or security are all three massive areas for us.	contradiction	neu
FinARG_FB_Q4_2018_17707_7_03	support	and while we have opportunities to grow impressions on facebook and instagram, that's less so in feed, where we already have healthy ad loads in - on both surfaces and more in stories where we have lower cpms.	we'll be more reliant on stories impression growth in 2019.	contradiction	entailment
