ID	relation	seg1_text	seg2_text	annot_AKSJ3C5O3V9RB	annot_A2QQY4S73JO639	annot_A36SM7QM8OK3H6
ArgEss_essay284_11	neutral	they may act like good people in order to get reward	if children always watch the TV programs that good people get rewarded, they may think it will be true in the real world	entailment	entailment	entailment
UKP_cloning_1515	neutral	Cloning should be considered as a promising opportunity for human development.	Response 1 : Negative vs. positive right to procreate .	neu	neu	neu
IJCAI2015_05_00	support	Well I totally disagree with advertising but I can understand why they need it. 	First I think that the main problem is social comparison because of advertising. 	neu	contradiction	contradiction
ArgEss_essay094_01	neutral	health education will prepare for people especially children necessary knowledge to protect themselves from risks of diseases	Health education will help people to have right choices of treatment to recover more quickly	entailment	entailment	neu
Web_3537	attack	there are several fallacies with darwins theory of evolution	but i will bet that you do not know what any of them are	contradiction	neu	neu
NK_deb_0375	attack	Meanwhile , the contradictory statements of Senator Kennedy still leave him opposed to this position . The misstatement : In the second debate Senator Kennedy said : The Republicans in recent years , not only in the last 25 years , but in the last 8 years , have opposed * * * minimum wage * * The facts : Senator Kennedy is saying that Republicans who opposed his particular bill are against minimum wage . The administration supported an increase in the minimum wage in 1955 , and in 1957 urged legislation to extend minimum wage coverage to some 3 million additional workers , an extension which the Democratic-led Congress failed to approve .	And Roosevelt and Landon , and Truman and Dewey . Where did they get those candidates ? The Republican Party for 25 years has put up candidates , and , as a party , has taken the position against every piece of progressive legislation that serves the people , from minimum wage to unemployment compensation , to better housing , to aid for education , to more equal rights for all Americans , for a stronger defense for a stronger and more vital society . The Republican Party , ever since it drove Theodore Roosevelt into the wilderness 50 years ago , has stood still .	contradiction	contradiction	contradiction
AbstRCT_15037889_00	support	There were no patients who dropped out due to the side effects of treatment regimens.	both showed similar effects on visual field performance.	neu	entailment	neu
FinARG_FB_Q4_2017_17658_7_08	support	they then opened a factory in romania and moved back to romania, where they're now employing 100 people and they're shipping across sweden, romania, germany, and austria.	the eu, the strength in europe was driven by smbs.	entailment	neu	neu
IBM_stance_2155	support	This house would never have children	That trouble and pain which the parents undergo on the birth of their children cannot be compensated even in a hundred years	neu	contradiction	neu
Web_0231	attack	In fact, all UKIP seems to talk about now is withdrawl from the EU without any genuine policy around UK's domestic economy.	UKIP has reached unprecedented heights in the opinion polls under Mr Farage, prospering in May's local elections.	neu	entailment	neu
micro_b025_04	support	The patient could learn to be more aware of his or her body and to treat it more healthily.	A reduction in the amount of chemically produced medication per person is most certainly desirable.	entailment	neu	entailment
FinARG_MSFT_Q4_2015_17149_6_00	support	there will always be somebody who chooses to purchase on a one-time basis, or there's a logic to it	and so i think 100% is not the logical answer.	entailment	neu	neu
QT50_nodeset29097_011	support	Ash Sarkar doesn't think that princes and dukes are great titles for human beings	princes and dukes are good names for musicians and dogs	contradiction	contradiction	contradiction
Web_1747	neutral	I don't think most people realise the benefits of free trade at all, and UKIP capitalise on peoples ignorance of the benefits of free trade as much as they can.	Do you want to stick with us, on the right track - delivering an economy for hardworking people? Or do you want to put all of that at risk with Ed Miliband and his crazy plans to tax business out of existence? That'll be the choice.	contradiction	neu	neu
veri_18	entailment	Charles is a king.	Charles is the member of a royal family.	entailment	entailment	entailment
UKP_cloning_0431	support	Cloning should be considered as a promising opportunity for human development.	If reproductive cloning is perfected , a quadriplegic can also choose to have himself cloned , so someone can take his place .	entailment	entailment	neu
Web_1602	neutral	UKIP do not bear scrutiny either as a coherent policy offer or a group of potential ministers , they are an insurgent party of protest with one message.	I have absolutely no sympathy for the rent-a-mob protesters, the Swampies and the Occupy Movement and the anti-capitalists and eco-freaks who have sought to hijack the Balcombe protest, he said to cheers from supporters.	neu	contradiction	neu
ComArg_UGIP_0649	support	I myself being Catholic believe that the words 'under God' should not be included in a pledge of allegiance to the flag of the United States. As is evident, the nation was based on ideals of religious freedom, and if somebody wishes to remain a patriot, pledging allegiance to their country, they should not be coerced to state something they don't believe to be true. Although a democratic government is based on majorities in the long run, in this case we very well may be violating the rights guaranteed to citizens via the Bill of Rights. The founding fathers, when constructing the constitution may have included references to their own religion, in this case Catholicism, but as we see a certain diversity being created in this past century, it is important to note that we as a nation should be more open to accept these different ideas to better suit all citizens. nnThat said, maybe it would have been easier to go along with the pledge that was first introduced which would have allowed for every citizen to feel their place in the country.	Separation of state and religion	entailment	entailment	entailment
AAAI2018_01_24	support	I just think it is always good to help them, but the result is not as sure as you will delete them. 	You need to educate them, understand why they become as they are. 	contradiction	contradiction	neu
QT50_nodeset29250_004	support	AudienceMember 20230330QT21 does appreciate what Isis can do to other countries	AudienceMember 20230330QT21 is an Iraqi by origin	entailment	neu	neu
QT50_nodeset29068_004	attack	to recruit all these extra people will you expect people to pay more taxes to pay for NHS recruitment costs	we would fund the recruiting by ending the non-dom tax status	contradiction	neu	entailment
IBM_stance_1784	support	This house would only teach abstinence for sex education in schools	Programs that stress abstinence as the only acceptable behavior for unmarried teens delay the initiation of sex	entailment	entailment	entailment
micro_b058_03	support	as you don't even need doping tests, only a neutral console.	Plus the hurdle to make video games Olympic events is minimal,	entailment	neu	entailment
JoKialo_causal_74582	support	The Golden Rule is not an economic or political guide, but a moral rule for individual behavior.	The appropriate measuring stick for governments and political representatives is not individual morality, but what is best for their country and the people they represent as a whole.	entailment	neu	neu
US2016_nodeset10597_014	support	I agree with you that the entirety of the email scandal is a huge blackspot on CLINTON's campaign, but where I feel like I disagree with you is the fact that, despite CLINTON's major lapse in judgment, that blackspot does not even come close to the negatives of a potential TRUMP Presidency	If TRUMP can't prepare for a 90-minute debate, then what makes anyone think TRUMP will be prepared for 4 years	entailment	contradiction	entailment
FinARG_FB_Q1_2016_17256_7_04	support	video is going really well.	so that's really exciting.	entailment	neu	neu
AAAI2018_06_10	support	 Indeed. 	 Well participant1, this was true in the Middle Age, nowadays I think we moved from that. 	neu	neu	neu
US2016_nodeset10860_000	support	largest banks in America — are much bigger than they were when we bailed them out for being too big to fail	we have got to break them up	entailment	neu	neu
US2016_nodeset10628_048	support	our country has tremendous problems	we have a country that needs new roads , new tunnels , new bridges , new airports , new schools , new hospitals	entailment	entailment	entailment
Web_1974	attack	UKIP is not at all taking into account the financial effects of leaving the EU: Europe is the main market for the UK. 	UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.	entailment	entailment	neu
veri_06	neu	International conflicts become more and more frequent.	International conflicts are harmful to the economy.	neu	entailment	neu
AAAI2018_09_09	support	 Participant 5 I haven't seen your studies, so as long as I haven't seen them I won't take what you are saying easily for granted. 	 I'm simply looking at studies on this matter, and what has been shown is that, expecially for girls, it is better to have single sex schools. And girls have been actually segregated for so much time: they were not even allowed to go to school... 	contradiction	neu	neu
AAAI2018_05_10	attack	Even if the drugs are tested before being on the market sometimes all the dangers are not known and people use the drugs because (thats not the only reason) og the ads and also because their doctor tell them it's goog for them. Problem is sometimes even the doctor is influenced by drugs companies. 	Doctors being influenced by drug companies is not related to advertising. 	contradiction	contradiction	entailment
veri_12	neu	An ostrich is a bird.	An ostrich cannot fly.	neu	entailment	neu
JoDeb_norm_3545	support	Assisted suicide should be legalized.	Opponents of euthanasia erroneously argue that human death is always wrong; exceptions exist.	entailment	neu	entailment
AAAI2018_09_05	attack	 Part. 5, I could reverse your argument, what's the point of not mixing them, as they are already mixed in society? 	 As they are already mixed up in society, what are the benefits to have them together at school as well? I'm talking about primary and secondary school. 	contradiction	neu	contradiction
JoDeb_causal_0101	attack	The idea of missile defenses in the Czech Republic and Poland is justified.	Iran can be deterred; attacking others would result in its annihilation	neu	contradiction	neu
NK_deb_0858	support	Such an effort requires not only long-term development loans but education , student exchanges , stepped up Voice of America broadcasts , concerned and competent Ambassadors , and a wide range of measures designed to increase the strength of freedom and stimulate the economic advance on which freedom often depends . Fourth , we will strengthen our planning the preparation for disarmament . One of the most glaring failures of the past 8 years has been our failure to prepare properly for any arms control conference since the end of the Korean war .	Our chief negotiator admitted at the 1958 conference on preventing surprise attacks that we , and I quote him ,  had n't up to this time really given the intense study of the kind of measure which would make this kind of measure possible ,  had not even intense study to the very program that they were then putting forward . A year ago when we went to the disarmament conference , we appointed an attorney from Massachusetts to set up an ad hoc committee . That committee met for 3 months .	entailment	neu	entailment
AAAI2018_010_00	support	It will just allow the richest people to buy some while the others will have to wait.	I agree with you participant2, I'm strongly against the legalization of sailing human organs.	entailment	contradiction	entailment
QT30_nodeset21709_010	support	you have to wonder what is the purpose of the Labour Party now	there was an existing identity crisis and a number of political problems	neu	entailment	neu
Webis-Debate_3452	support	merge. Nikki♥311	, as long as no information is lost. I frequently have a link to these articles in the articles I write.--	contradiction	neu	neu
ArgEss_essay294_12	neutral	With the help of research projects, professors could lead their students into the practical world from the classroom	doing research could also improve the teaching quality	entailment	entailment	entailment
QT50_nodeset28931_000	support	social care being sorted has been the government's cast iron guaranteed commitment	the manifesto, the Tory manifesto, made a very, very specific commitment to ringfencing a pot of money for social care	entailment	entailment	entailment
ComArg_UGIP_0420	neutral	As a general proposition, government should be God neutral.  Given the history and tradition of religion in our country AND the difficulty in making a change, I would not waste the political capital to get it done.	Implies ultimate power on the part of the state	neu	contradiction	neu
UKP_minimum_wage_1456	attack	The minimum wage needs to rise and to adapt to the current cost of living.	You know how we know a wage increase wo n’t suddenly make fast food companies replace all their employees with robots ?	contradiction	neu	neu
veri_15	entailment	Thomas has three children.	Thomas is a father.	entailment	entailment	entailment
UKP_gun_control_0780	neutral	Gun laws should be more restrictive.	Sure , in some cases they did get help from external sources ( communist bloc governments supplied communist Vietnam during the Vietnam war while the United States government supplied anti communist Afghanistan ) , but neither the less they won .	neu	neu	neu
Web_2340	support	joe i do	joewe look at the options	neu	neu	neu
IBM_stance_2108	support	This house believes that advertising is harmful	advertising often reinforces stereotypes	entailment	entailment	entailment
QT30_nodeset23790_000	attack	what is really important in cases where you have mentioned people who have dementia for example, their decline has been so rapid without that family contact	the situation with care homes is about the balance of harms	entailment	entailment	neu
Webis-Debate_2643	support	We need to hack down this section -- there is just way too much material. We don't need to list every plotline that George was involved in. Perhaps it would be best to isolate particular characteristics that George exhibits -- dishonesty, extravagant plots, overreaction to small things, etc. -- and give one or two examples for each one. This would not only make the section more managable, but easier to gain an understanding of who George is. Dylan	- the list is meaningless as is, as it seems to be a synopsis of just about every episode he was in. A list of attributes with some examples would be far more useful.	entailment	entailment	entailment
IBM_stance_2030	support	This house would unleash the free market	free markets work best	entailment	entailment	entailment
IJCAI2015_011_04	support	We can't judge people by their appearance and it`s not a good way to keep security of territory. It can be embarrassing for some people. 	It is a kind of discrimination. 	entailment	entailment	entailment
IJCAI2015_04_08	support	I think for people, the religion is a refuge against the horrors of the word. 	Yeah so we can't take the religion away of this people. 	entailment	entailment	entailment
QT30_nodeset19325_008	support	we want to see our leaders getting on, supporting each other, calling out regulatory slips where we can see them happening	we’ve all had enough of this virus around the world	neu	neu	neu
QT50_nodeset28949_003	support	whatever pay rise is offered needs to be new money	the pay rise can’t just be taking from another purse just to pay someone else	entailment	entailment	entailment
UKP_school_uniforms_newFormat_1220	neutral	School uniforms should be established in schools.	Back to present position 8 Should Transgender People Be Allowed to Use the Bathroom of Their Choice ?	neu	neu	neu
IBM_stance_1537	attack	This house would build high rises for housing	High-rise blocks became notorious for crime and poverty	contradiction	contradiction	neu
veri_03	contradiction	The government released the report today.	The government is holding back the report.	contradiction	contradiction	contradiction
AAAI2018_03_17	attack	I think they have to be paid but lower than a normal worker.	I think housewives should not be paid. They have already a lot of help for that. 	contradiction	contradiction	contradiction
UKP_cloning_1006	attack	Cloning should be considered as a promising opportunity for human development.	Human cloning for so-called therapeutic purposes is completely unethical .	contradiction	contradiction	contradiction
