ID	relation	seg1_text	seg2_text	annot_A3PYB8Z6FFWSOV	annot_A36SM7QM8OK3H6
NK_deb_0232	neutral	They talked . But what did they produce ? They promised a 25-percent minimum wage increase in place of the program that President Eisenhower asked for and that could have been passed and should have been passed . What did the workers get ? Nothing at all .	It is not only medical care for the aged . It is minimum wage , it is housing for the elderly , public housing . It is all under social security .	neu	contradiction
US2016_nodeset10850_060	support	there are things we can do	we need to have more second chance programs	neu	neu
QT50_nodeset28863_006	attack	people are living in terror about the energy costs	people are living in terror about more, the mortgage costs going up	neu	neu
JoDeb_causal_7309	attack	High speed rail development is generally good policy.	Expanding roads and runways better than high-speed rail.	neu	contradiction
FinARG_FB_Q4_2019_17761_7_09	support	so whether that's marketplace for buying and selling things.	but there are different social utilities that even if not everyone wants to use them, hundreds of millions of people might find value in.	neu	neu
IBM_stance_0422	support	This house would ban gambling	Pathological gambling is a common disorder that is associated with social costs	neu	entailment
veri_20	entailment	Tina plays the piano.	Tina plays a musical instrument.	entailment	entailment
AbstRCT_9790546_01	attack	but were not statistically significant after adjustment for multiple testing.	Other analyzed QOL parameters favored the group receiving placebo	neu	entailment
JoDeb_norm_2710	attack	The US Guantanamo Bay detention center is justified. It should not be closed.	Past Cuba-US treaties forbid the current use of Guantanamo	neu	contradiction
Web_3994	support	rarely have i watched and rewatched a movie with such spectacular cinematography	loved the blood splatter on the camera too gave it that feel of being right there with a war correspondent the timing of everything was incredible	neu	entailment
Webis-Debate_1975	support	::And why is it irrelevant? We have the Swedish FM throwing around Nazi slurs, based on the pretext that Russia has violated territorial integrity of Georgia, when Sweden have recognised Kosovo, violating territorial integrity of Serbia in the process. As there are literally thousands of verifiable sources noting the hypocrisy and double standards of NATO/EU in this matter, such information clearly belongs in the interests of balancing out POV. I see that someone else has already removed the column, but judging by comments in this section, there is no consensus for removal or for keeping, so I will revert to re-include it, and if consensus dictates not to include this column, we can abide by that. --	, the column should stay. I would even suggest to place country's statements on Kosovo and Osetia next to each other for easy comparison.--	neu	contradiction
QT30_nodeset21362_002	support	personally Sam Winter is not planning to go abroad	Sam Winter is quite happy being in our country	neu	entailment
IBM_stance_2389	attack	This house would promote democratization	democracies have ever been found incompatible with personal security or the rights of property	neu	contradiction
micro_k023_00	attack	For a good overall grade opens many doors,	The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it.	neu	neu
QT50_nodeset28481_004	support	Public Health England and the Food Standards Agency were also involved in guidance to food companies	all of the agencies have been working and contributing to the guidance that businesses are following	neu	neu
JoDeb_causal_5129	support	The idea of missile defenses in the Czech Republic and Poland is justified.	Quotes expressing general support for missile defense in Europe	neu	entailment
QT50_nodeset29293_003	support	when Rakie Ayola was filming The Pact the other executive producers got very annoyed	Rakie Ayola would get the 3am train from Sophia Gardens and she’d be in her kitchen in Greenwich at half past six, on a National Express coach	neu	neu
AbstRCT_12837811_06	support	Patients treated with DC had a median survival of 11.3 v 10.1 months for VC-treated patients (P =.044; hazard ratio, 1.183 [97.2% confidence interval, 0.989 to 1.416]).	DC resulted in a more favorable overall response and survival rate than VC.	entailment	entailment
US2016_nodeset10450_013	support	TRUMP has been very nice to KELLY , although TRUMP could probably maybe not be	based on the way KELLY has treated TRUMP	neu	neu
veri_25	neu	Paul is a college student.	Paul is from France.	neu	neu
ComArg_UGIP_0029	neutral	church and state should be seperate. saying this why should under God be in the pledge? many americans that love their country are not christians so why should they have to say under God..	Implies ultimate power on the part of the state	neu	neu
JoDeb_causal_5158	attack	Colonizing the Moon is a good idea.	Children would not develop properly in low-gravity Moon colony	neu	contradiction
