ID	relation	seg1_text	seg2_text	annot_AORHXBTOCXFUK	annot_A29ZTHY1OB4IC8
Webis-Debate_3703	neutral	"As Corzine attended the Bilderberg Group meetings in 1995-1997, 1999, 2003 and 2004, I added this article to the :Category:Bilderberg Attendees. The facts are well sourced and not in dispute but my edit was promptly deleted on the basis that his participation in the Bilderberg Group was not mentioned in the main body of the article and that attending these influential and private meetings was not significant enough to warrant categorization diff. I suggest that the fact he has attended these controversial and undocumented meetings should be added to the main article and the category added back as a general fact of public interest unless there is a clear consensus not to do so.An example supporting source is: The New American, June 28, 2004, ""Bilderbergers celebrate half a century of intrigue, secrecy"", Vol. 20, No. 13, , quote:""Attendees from the U.S. this year reportedly included: Senators Jon Corzine (D-N.J.) and John Edwards (D-N.C.); Melinda Gates, wife of Microsoft founder Bill Gates; Donald Graham, chairman and CEO of the Washington Post Company; Richard N. Haass, president of the Council on Foreign Relations; Timothy Geithner, president of the Federal ReserveBank of New York; Douglas Feith, U.S. Undersecretary of Defense; Walter Isaacson, president and CEO of the Aspen Institute; Jessica T. Mathews, president of the Carnegie Endowment for International Peace; Indra K. Nooyi, president and CEO of Pepsico; Peter Weinberg, CEO of Goldman Sachs International; and James Wolfensohn, president of the World Bank."" —"	A similar issue was raised on Talk:Peter Mandelson#Bilderberg Group and WP:BLPN#Peter Mandelson, where the consensus so far has been to add his Bilderberg participation to the article.—	entailment	contradiction
ComArg_GM_0804	neutral	One of my objections to same sex marriages is that it may give those people monetary advantages intended for normal married couples.  The prime example is that they would receive a reduction of their Federal, and probably State, income taxes if allowed file jointly.  If you go back and study the Congressional committee reports that established the Federal reduction of taxes for married couples, I believe you will find that it was based on the premise that a wife during her child bearing and rearing years will have reduced ability to contribute to the family income.  This may also apply to other government programs.  Assuming that the average voter would object to the reduction for same sex marriages, this may be an argument to oppose such marriages.  RH  Arlington, VA	Marriage should be between a man and a woman	entailment	entailment
Web_1354	neutral	"I would say it's the anti-ukip brigade who have no substance to their argument (or facts), they simply shout ""racist"" with nothing to substantiate this slur, or become crude and insulting."	But he said any future deal with the Conservatives would be difficult, as he claims David Cameron opposes a full, free and fair vote.	entailment	contradiction
NK_deb_1240	neutral	But our goals are not the same . I want a $ 1.25 an hour minimum wage , medical care for the aged through social security , Federal aid to help raise teachers salaries as well as schools , an adequate program of slum clearance and low-rent housing , and a program of aid to areas of chronic unemployment which would include northern Minnesota . These are my goals .	This year again the Republican Party - as it always has in the past - is fighting every single Democratic effort to advance the welfare of our people to relieve poverty and hunger and the burdens of illness . This year again only a single Republican in the Senate voted for medical care for the aged . This year again Mr. Nixon , as the spokesman for his party , speaking to 73 million people in our television debate , said that our efforts to provide medical care through social security were  extreme .	entailment	contradiction
JoDeb_norm_1582	support	Solar shading should be part of plans to reverse global climate change.	Global shading offers a back-up plan to cutting emissions	entailment	entailment
FinARG_AMZN_Q2_2016_17388_8_00	support	we've been seeing some great efficiencies in our infrastructure, both internally as amazon and also as part of aws.	on tech and content, that's going to be a combination of our people cost related to many areas of the website and also the infrastructure cost to run it, at both the amazon web services and also the amazon site.	entailment	entailment
Webis-Debate_1676	support	I think this section requires a lot of expansion and is currently sufficient to start its own article titled something like Taxation history of the United States. It should cover early American history as well such as the Boston tea party.	\N	neu	neu
AbstRCT_18669464_00	support	Patients receiving sunitinib reported higher FKSI-15 and FKSI-DRS scores at each cycle than those receiving IFN-alpha, with a significant difference in the overall least squares means (3.27 and 1.98, respectively; P < .0001).	Sunitinib provides superior QOL compared with IFN-alpha in mRCC patients.	contradiction	contradiction
veri_20	entailment	Tina plays the piano.	Tina plays a musical instrument.	entailment	entailment
AbstRCT_23989945_03	support	no significant difference between treatment arms in terms of overall costs or Quality Adjusted Life Year.	Nevertheless, both community settings were acceptable to and preferred by patients compared with hospital, were safe, with no detrimental impact on overall health-care costs.	contradiction	contradiction
ArgEss_essay112_00	neutral	They help to ensure fairness by imposing the same conditions on all exam candidates	There are clearly advantages to exams	entailment	contradiction
veri_18	entailment	Charles is a king.	Charles is the member of a royal family.	entailment	entailment
AbstRCT_29625440_00	support	Changes in UACR category were not different among treatment groups at the 52-week visit (global P = 0.29).	There do not appear to be treatment group differences for changes in blood pressure or UACR as a reflection of kidney function in patients with DME treated with aflibercept, bevacizumab, or ranibizumab.	contradiction	contradiction
JoDeb_norm_0191	attack	Abortions of any kind should be permitted.	Abortion is not a just response to social problems facing the unborn	contradiction	contradiction
UKP_death_penalty_2152	attack	Death penalty should be an option in the penal code.	As many states face further deficits , it is an appropriate time to consider whether maintaining the costly death penalty system is being smart on crime .	contradiction	contradiction
FinARG_AAPL_Q2_2018_18855_7_08	support	and so it's iphone x was number one, but we had several in the top.	and so there's actually several vectors there that are working well for us.	entailment	contradiction
ComArg_UGIP_0411	support	Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof;  The idea of a single God is opposed to ideas of polytheistic religions and those who have no belief in a creator. Although the pledge not mandatory but is a law under the Flag Code, the phrase under God praises the ideas of some the religions that are set with the idea of a single God.	Separation of state and religion	entailment	contradiction
FinARG_MSFT_Q3_2015_17143_9_03	support	people have bought from us previously just standard editions are able to now look at our enterprise editions and that’s what’s playing out.	when it comes to our commercial licensing and our servers, it’s the same trend, heather, which is the big shift that’s happening is our enterprise and datacenter products, being windows server, systems centers , sql server, are more competitive.	entailment	contradiction
JoKialo_causal_31711	neutral	Those without religion are as emotionally healthy as those who follow one.	In Judaism, the Torah explicitly forbids interfaith marriages, leading to many Rabbis being against the practice.	entailment	contradiction
ArgEss_essay200_01	neutral	"These wastes including household waste and industrial waste are so big that a ""new"" continent is now being formed in the sea from garbage"	People are corrupting their ecosphere	entailment	entailment
IBM_stance_1511	support	This house believes that Israel's 2008-2009 military operations against Gaza were justified	Hamas started the conflict by firing rockets on Israel	entailment	contradiction
micro_k001_00	support	Particularly the younger generations are no longer dependent on the programming of public broadcasters.	Not everyone should be obliged to pay the TV & radio licence.	entailment	contradiction
ArgEss_essay154_00	neutral	If you have roommates, you can split the rent and utilities among them	Living with a roommate saves me a lot of money	entailment	entailment
veri_15	entailment	Thomas has three children.	Thomas is a father.	entailment	entailment
AbstRCT_23686277_01	support	There was no difference in the amount of blood loss between both groups: LAP 261.5 ± 195.4 ml, CON 228.1 ± 119.5 ml.	There was no difference in the amount of blood loss between both groups: LAP 261.5 ± 195.4 ml, CON 228.1 ± 119.5 ml.	entailment	entailment
micro_b016_00	support	The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.	That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).	contradiction	contradiction
micro_b004_02	support	for we need general and independent media.	Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,	contradiction	contradiction
US2016_nodeset11304_003	support	the world changed enormously the next day , and that happened in CHRISTIE's state	New Jersey was certainly effected by 9/11	contradiction	contradiction
QT30_nodeset23015_000	support	Audience Member doesn't think Boris Johnson has a mandate to say to the Scottish people it was a once in a lifetime referendum	you only have to look at the way Boris Johnson treats the SNP group down at Westminster in debate	contradiction	contradiction
QT50_nodeset28919_014	support	the beds are being taken up in the hospitals	patients are not being discharged into social care	entailment	contradiction
ComArg_UGIP_0785	neutral	As an devout atheist I strongly oppose this. It seems like some people don't understand that there IS  a seperation between church and state. Now I have to join the herd and recite a few words that mean nothing to me? We have something called a church that people do this in. So why is it in a public school?  Are we forgetting about those who may practice hinduism, buddhism, shintoism and other religions? What about them?  I don't care if the majority of people are Christains. SO! But since when do the majority decide what is best for everyone? Where are we in China now?  By the way, I thought as a good bunch of christains you were not suppose to mention thy lord's name in vain. CLAP CLAP Good for you.....NOT! Here you are running around using it in some nationalist verse so you can feel better about yourselves. God bless America what about the rest of the world?	Likely to be seen as a state sanctioned condemnation of religion	contradiction	contradiction
JoDeb_norm_5547	support	There should be an outright ban on the smacking or spanking of children.	Smacking can cause lasting psychological damage.	contradiction	entailment
Webis-Debate_0945	attack	:Panhellenic Socialist Movement → – per WP:COMMONNAME. In English, the party is overwhelmingly known as PASOK. BrownHairedGirl (talk) • (contribs)	- PASOK is not a name, it is an initialisation/abbreviation. Articles for political parties on en.wiki use English language translations of the party names as the article titles, not abbreviations (e.g. we have an article called Social Democratic Party of Germany, not SPD (Germany)). The commonly accepted English language translation of this party's Greek language name is the Panhellenic Socialist Movement, which should remain the article's title.--	contradiction	entailment
QT50_nodeset29339_000	support	workers are worse off as a result of what's happening	last year 1.7 billion workers in the world had their wages grow slower than prices	contradiction	entailment
QT50_nodeset29308_008	attack	Fraser Nelson does support the Government's plan for Rwandan deportations	Fraser didn't used to support the UK governments Rwanda deportations	contradiction	contradiction
AbstRCT_19330830_02	support	For the chemoradiation group, the mean QALM-24 was 7.1 (95% CI: 6.0, 9.0) months compared with the mean QALM-24 of 8.1 (95% CI: 7.0, 10.0) months for the no chemoradiation group.	Chemotherapy provided on average an additional 1.0 quality-adjusted life months within a restricted 2-year time period from the time of resection.	contradiction	contradiction
veri_02	entailment	My neighbor has an Australian shepherd.	My neighbor has a dog.	entailment	entailment
IBM_stance_0387	attack	This house would embrace multiculturalism	recognition and rights accorded to specific groups may interfere with the state's need to establish a cohesive identity	contradiction	neu
ArgEss_essay129_00	neutral	I thought I had enough time for eating breakfast and transporting to the testing place; while I was stocked in a traffic jam and then missed the first test	I just failed to participate in the university entrance exam	contradiction	neu
