ID	relation	seg1_text	seg2_text	annot_ABNTQ9OXGOJP0	annot_A3JFGKEYXV6G84
FinARG_MSFT_Q3_2018_17907_6_06	support	this was actually a database we just launched last year.	but as i said, i think the key things that we think about is differentiation of azure at each level	neu	neu
UKP_cloning_2926	support	Cloning should be considered as a promising opportunity for human development.	As humans reproduce continually , there is also an increase in damage to their DNA lines , creating defective and mutated genes , which could be eliminated by cloning healthy human cells .	entailment	entailment
QT50_nodeset28369_007	support	it is or or it is not worrying if this research is suggesting substantial ability to evade immunity from previous COVID infections	the less severe end of disease is harder to protect against with vaccination	contradiction	neu
QT30_nodeset21731_007	support	they gets demonised in the press	you have somebody that comes up and cares about the working class people	contradiction	neu
IJCAI2015_011_05	support	It is a kind of discrimination. 	Exactly, I mean discrimination. 	entailment	entailment
UKP_school_uniforms_newFormat_2324	neutral	School uniforms should be established in schools.	We must not allow citizens with medical problems to go untreated because of financial problems or red tape .	neu	neu
veri_01	entailment	Sport is considered to be beneficial for health.	It is considered as healthy to go to the gym.	entailment	entailment
AbstRCT_21561791_01	support	Patients without pain had a significantly lower 2-year risk of progression in both groups.	Metastatic prostate cancer patients with high baseline PSA, pain, and high PSA nadir have a poor prognosis with ADT.	neu	neu
micro_k031_01	support	Time and again children or the elderly slip on them.	Pieces of dog poo on the pavements are a real danger.	entailment	entailment
QT50_nodeset28726_016	support	as politicians, we should be sitting down, rationally looking for solutions to make life easier for the people we represent	let us grasp with both hands any ways that the Northern Ireland Protocol might be deminished in terms of its impact	contradiction	neu
Web_1751	neutral	I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.	Mike Nattrass left UKIP last month after a row with leader Nigel Farage.	neu	neu
JoKialo_causal_14092	neutral	Rote-learning and significant learning are not opposites, instead they complement one another.	Students were seen to develop a stronger sense of communication within their schools. (p. 1530)	neu	neu
JoKialo_causal_78648	support	SAT testing is biased toward the wealthy.	Wealthy people can afford to take the tests many times.	entailment	entailment
micro_d11_02	support	Besides, I get to use my folks' big, comfy car.	We should go to the Baltic Sea on the weekend.	neu	neu
ArgEss_essay258_05	neutral	from my own experiences, after I had started learning playing the guitar without a teacher, I got used to wrong habits regarding strumming and tempo, but after finding and learning with a tutor and identifying and eliminating those incorrect habits, I was able to play properly	if you are going to learn some things by yourself, you may learn and understand them incorrectly	entailment	entailment
QT50_nodeset28835_001	support	Anne McElvoy has something a little bit less good to say to the IMF	there was a lot of commentary from the IMF which went beyond where the IMF should be which is where the top tax rate should be	neu	neu
ArgEss_essay070_04	neutral	the improvements of work efficiency also attribute to the speed-up of working pace, resulting in traffic jams during rush-hours	it seems not easy to increase petrol price instantly	contradiction	neu
QT50_nodeset29034_001	support	the strike is about the lack of staff	AudienceMember20230112QT04 has turned up for shifts and we've had no staff	entailment	entailment
Web_1845	attack	If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.	The group suggest that within five years UKIP will have more members than the Tories at the current rate of attrition.	contradiction	neu
NK_deb_1805	neutral	They 're going to stir up trouble . We 're going to have trouble not only in Cuba but in Japan and all over the world . Why ? Because they 're going to stir them up .	Why did the people of Ghana and the leadership decide , even though an independent country , even with a great tradition of being tied to the British , even though they had every prospect of maintaining a society tied to the West , why have they in the last 3 years since they have been independent suddenly begun to tie their policies closely to that of the Soviet Union ? It is not chaos . It is not a military seizure of power like Cuba . Yet , Mr. Herter said 3 weeks ago that Ghana is supporting the foreign policy of the Soviet Union .	contradiction	neu
AAAI2018_08_01	attack	 Agree p3, but, in some cases, it's good the have a little gun at home if you don't have a child. 	 I am against the right to carry guns. 	contradiction	contradiction
veri_28	neu	Peter has a garden.	Peter likes butterflies.	neu	neu
ComArg_UGIP_0424	neutral	Well, i think that no religious statement should be included in the Pledge of Allegiance. When people refer to any religion, they should be in the situation in which they respect and follow that specific God or Goddess (whichever, one or more) and remain in the boundaries of supporting the land in which they created. If, for example, the U.S is considered a religious country, then if they speak about God, they should consider thinking about what God does for his people, not only what he chooses for being wishy-washy. He can't prohibit something the U.S for being different or because something looks bad or inappropriate as some might say. You can't talk about a specific religion unless you truly understand it, it's not logic for anyone to think like that.	Under God  is part of American tradition and history	contradiction	contradiction
JoDeb_norm_8949	support	Nations should increase economic and social protections for migrants.	Strengthening migrant rights improves diplomatic relations	entailment	entailment
AAAI2018_06_00	attack	 I think it is only the texts interpretation which could be dangerous. 	 Religion is a fundamental block of man's life. The main issue is that it is always caught in the middle of political debates. Religion does not harm anyone. It's the misconception and the ignorance that does that.	neu	neu
ComArg_UGIP_0403	neutral	Saying under God does not have to refer to a Christian God, or even a strictly religious God. I find it uplifting to state that we are all united under a greater power, whether it be that of a deity of doctrine or a collective, spiritual sense of our country's connectedness. Under God can mean different things to different people, but it is a good thing to recognize a power and purpose that is greater than any one individual.	Removing under god would promote religious tolerance	contradiction	neu
ArgEss_essay004_04	neutral	tourism increasingly create harms to the natural habitats of the destination appeals	tourism has threatened the nature environments	entailment	entailment
Web_0875	attack	A vote for UKIP would be a vote for a Tory-UKIP alliance that would be more right-wing than a Tory government.	UKIP says it is campaigning on a pro democracy message - aiming to rejuvenate local politics.	neu	neu
QT30_nodeset20736_000	attack	we all have to remember as we move forward that it is nothing compared to what Sara Everard's family are feeling this morning	we're talking about Sara Everard's murder in a clinical, policy-driven way about an appalling human event	contradiction	neu
NK_deb_0129	neutral	This fight is important , because unless this country is moving ahead , this country will not lead a world which is moving ahead . The same political party , the Republicans , who could vote against social security in the thirties could vote unanimously against the medical care for the aged in the sixties . The same political party that could vote against the minimum wage of 25 cents an hour in 1935 could vote against $ 1.25 an hour in 1960 , and this goes to the heart of the issue , a party which fights progress , a party which is not prepared to associate with it , a party which has stood athwart the great social , international , and national movements of this century , sponsored by Wilson and Roosevelt and Truman - how can they lead in the dangerous sixties ? How can they lead and move this country forward ? How can they demonstrate to a watching world that we are a strong and vital society ? In outer space , in the world around us , in Latin America , in Africa , in Asia , in Wisconsin , we are associated with a forward motion and they have stood still , and I believe on November 8 , the people of this country are going to choose to move again .	The purpose of our program is to provide equal opportunity for every American to better himself , to free life more and more from the stunting effect of economic need , and we seek to make it possible for every individual in this Nation to be somebody , to have something . Now , going along with this faith in the individual as an abiding concern , a concern for his problems as a human being - the possible loss of a job and livelihood through no fault of his own when the economy changes ; the fear that the end of his working years may mean poverty , that the loss of a breadwinner may mean destitution for the widow and children ; the cost of medical care in old age : These are some of the searing human concerns that our program aims to minimize through effective private and public measures . Such efforts toward personal security , first , are right - not only from the humanitarian viewpoint , which all of us will understand ; they are mandatory if our complex modern society is to work at its best , at its fullest .	neu	entailment
veri_22	contradiction	Wilma payed back all her creditors.	Wilma still owes money to Bob.	contradiction	contradiction
JoDeb_norm_7058	support	I should go to law school.	Helping clients can be a very rewarding thing.	neu	neu
UKP_minimum_wage_0640	neutral	The minimum wage needs to rise and to adapt to the current cost of living.	When the minimum wage rises , is income redistributed primarily to poor families , or do many families higher up the income ladder benefit as well ?	neu	neu
JoKialo_causal_30674	neutral	An estimated 1,240 women in the US will die from vaginal cancer this year; most of these cancers will contain HPV.	There is no agreeable alternative.	neu	neu
Webis-Debate_3656	neutral	I believe that the article should be reverted to one version back and remain locked till the discussions are finalised. Editors may sign below with agree, disagree and four ~. talk to +MATIA	It makes absolutely no sense to unprotect, revert, and reprotect, nor is this supported by the page protection policy. Also, such a course of action would be just an extension of the revert war which led to the most recent protection. The fastest and most productive way forward is for you all to reach a compromise. As I've said before, this should be easy, provided that you realize that Wikipedia's role is not to determine the Absolute Objective Truth, only to report, fairly, on the various views that have been put forward. --	contradiction	contradiction
ArgEss_essay048_01	neutral	Now, however, students are able to apply for online-courses provided by top-of-the-range universities and colleges worldwide	distance-learning brings significant convenience for students in every corner of the world	entailment	entailment
JoKialo_norm_51659	attack	For protest and action which is likely to lead to regime change, public anger needs to be at a high level, which would come through increased sanctions. This has been seen in Iran in January and during the Arab Spring with [mounting economic grievances being a driver of protest](https://www.washingtonpost.com/news/monkey-cage/wp/2018/01/02/what-are-the-lessons-of-the-arab-uprisings-for-irans-protests/?utm_term=.bbf07d2aa473).	It's possible that increased sanctions would be blamed on the US, particularly given their unilateral nature, and lead instead to increased nationalism and increased support for their existing leadership.	contradiction	contradiction
Web_1163	neutral	The more the 'mainstream' parties smear and lie about UKIP the more their support rises.	The BBC's deputy political editor James Landale said senior Conservatives were preparing for the party to lose 350 seats they won in 2009, the last time the seats were contested.	neu	neu
veri_24	neu	Solar energy is a form of renewable energy.	My neighbor installed solar panels on his roof.	neu	neu
NK_deb_1654	attack	If your schools are n't adequate the Federal Government is going to provide it . If you do n't have the right kind of health care , the Federal Government will set up a program that will do it . And you do n't have to worry about it .	Although 15 million Americans are forced to live in substandard dwellings - the Republican Party has adopted policies which have slowed down private housing - and consistently blocked Democratic efforts to enact programs to clear our slums , renew our cities , and provide decent homes for Americans of low and moderate incomes . And finally , although 9 million Americans over the age of 65 receive incomes of less than $ 20 a week - and 3 million more receive incomes of less than $ 40 a week - amounts on which they can not afford their higher medical bills - the Republican Party , only 2 weeks ago , blocked our efforts to provide medical care for the aged under social security . Some people say that this last brief session of the Congress was a handicap to the Democratic Party - and it is true that the Republicans blocked our efforts on every major front .	contradiction	neu
ComArg_UGIP_0432	attack	I'm an atheist and think that many people over react to the words Under God. I think there are many admiral qualities religion in America has to offer even those without a belief in God. I am trying to be tolerant of my Christian, Jewish, Muslim, and other friends just as they have been tolerant of me and my ideals. I personal don't feel insulted by the inclusion of those words. I also don't think they are meant to combine the words believer and patriot. I say the pledge just like any other God fearing American would even though I don't  have the faith in a higher being that my friends have. I think that for atheists God can be translated into, possibly, a higher purpose or a set of ideals that better us without the need for a particular religion. I just hope that everyone in America can get along, stop being offended by every little thing, and stop fighting over such a silly debate.	Removing under god would promote religious tolerance	contradiction	neu
veri_05	neu	The development of video games is time consuming.	Children love to play video games.	neu	neu
Webis-Debate_1579	attack	::Merge the main characters? I think they are important enought to be kept. Bowser Junior Nutt.	all merges except Mr. Thicknose. He definitely shouldn't have his own page. --	contradiction	contradiction
ComArg_GM_0722	neutral	Marriage isn't the joining of two people who have intentions of raising and nurturing children. It never has been. There have been many married couples whos have not had children. The fact of the matter is that marriage is the joining of two hearts that can't seem to live without each other. Straight couples do this, and they often get divorced after swearing to love each other until death do them part. If straight couples can attempt to work out a marriage, why can't homosexual couple have this same privilege? After all, you're either gay, or you're not. You don't choose to be gay, but no one spitefully causes you to be gay either. Love knows no bounds. It can't hear, speak, touch, smell, or taste. It doesn't discriminate like many of our own kind. Keep in mind that I'm heterosexual. I love women and their bodies. If I can say that, and then tell you that hating on gays and their right to be married is wrong, then maybe it will open your eyes and your minds a little more.As for people who argue that gay marriage will destroy the boundaries between state and religion, that boundary shouln't even exist. The government should stand alone. The church should have absolutely no say in what happens in politics.	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	entailment	entailment
QT30_nodeset17938_004	support	people are going to start to see the autumn television schedules clearing themselves of British dramas	for filming dramas the actors need to fight, hug and kiss each other, unless you want terrible dramas	neu	neu
US2016_nodeset10436_049	support	There are three strategic failings that have allowed this to occur	whose son fought in Iraq	neu	neu
JoKialo_norm_23531	neutral	The residents of China deserve access to Google Search.	Chinese people are never given the option of living in a society with government surveillance or not. There is no cultural reason why they would not want more privacy.	neu	entailment
UKP_gun_control_1184	support	Gun laws should be more restrictive.	Having a gun in the house also increases your own chances of becoming the victim of a firearm-related homicide or suicide in the home .	entailment	neu
AAAI2018_06_12	support	 I think that religion is important for a lot of people, and that is not the problem. 	 Religion does more good than harm. People do more harm than good. 	neu	neu
veri_15	entailment	Thomas has three children.	Thomas is a father.	entailment	entailment
Webis-Debate_2664	support	::::::::Can they also be the members of the measuring committee please? :NikoSilver:	for proposal by TheGrappler. I stand corrected. --	neu	neu
AAAI2018_010_24	attack	Abortion is legal and it doesn't matter much when and how. It's an individual choice for whatever reason it might be.	In this decision we don't think just for ourselves, but also for the baby, unless if it's a decision of accommodation Participant4.	contradiction	contradiction
JoKialo_causal_79800	support	Christopher Eccleston, the ninth Doctor.	Is maybe the most unpredictable and fun Doctor in the series since 2005.	neu	neu
veri_08	entailment	Tina visited the Colosseum when she was in Rome.	Tina was in Italy.	entailment	entailment
QT50_nodeset28745_007	attack	think how difficult it is for magistrates applying the rules yet	it doesn't seem to apply to the government	neu	contradiction
NK_deb_1229	neutral	He indicates now that he did n't really mean that the President should have apologized . He was only talking about it theoretically , and he indicates now that he did n't really mean that the Federal Government should intervene in Cuba . He was only talking about what we 're already doing , as a matter of fact , giving moral support to the cause of freedom in Cuba and all around the world .	This was too little and too late . He said the Government of the United States should support the anti-Castro forces in and out of Cuba - and again I quote him exactly - and again he was wrong and the President was right , because what my opponent would have done would have violated five treaties . It caused dismay and concern among our allies throughout the world .	contradiction	contradiction
FinARG_AMZN_Q2_2018_18394_7_02	support	and they're using our services to achieve their marketing goals to – whether that's to drive new brand awareness, discovery or ultimately purchase decisions on our site.	we're seeing strong adoption across a number of fronts.	neu	neu
US2016_nodeset10452_013	support	CHRISTIE brought the budget into balance with no tax increases	We cut business taxes $ 2.3 billion	neu	contradiction
UKP_cloning_2312	neutral	Cloning should be considered as a promising opportunity for human development.	We think SCNT can produce some very special cells , but not yet a child .	neu	neu
AAAI2018_02_06	support	 If it calls for it, it should be. 	 If inflicting pain on an individual is a solution to save the lives of millions then it is simply practical to do so. 	contradiction	contradiction
NK_deb_0071	neutral	The Republican program in education , unlike Mr. Kennedy 's would provide funds for school construction which would enable State and local districts to use their money for raising teachers salaries , without involving the Government in the direct payment of teachers salaries which would lead toward dictation from Washington as to what is taught in our schools to our children . It is a matter of record that Republicans have extended social security and strengthened minimum wage legislation . Moreover , we care too much for people to advocate programs , as my opponent does , which would raise Federal spending by over $ 15 billion a year - programs so great they could be paid for , not out of miracles of economic growth , but by 180 million Americans in higher taxes and higher prices .	Farmers will manage their own production , will limit their own marketing through such devices as marketing quotas , marketing orders and agreements , Government purchases , crop loans , and so on - an individual farmer-managed program tailored to each individual crop . With the price of milk fat today at only 80 percent of parity , the labor earnings of dairy farmers are less than the national minimum wage . Governor Nelson has taken an active role in formulating a dairy program .	neu	neu
QT30_nodeset23716_000	support	the COVID support can't go on ad infinitum as we move out of this period	the COVID support, 407 billion pounds so far, everyone appreciates that we have to pay for it somehow	entailment	entailment
AAAI2018_01_00	attack	If they have enough evidence that they killed many people, they should be killed.	I'm against death penalty: a human cannot decide about the life of another human. 	contradiction	contradiction
UKP_cloning_0989	attack	Cloning should be considered as a promising opportunity for human development.	In the same poll , almost seven in 10 Americans said cloning humans was against God 's will .	contradiction	contradiction
AbstRCT_15037889_01	support	No changes in the optic nerve head topography in the vertical cup-to-disc ratio and rim area measured by image-analysis techniques were observed in either group.	both showed similar effects on visual field performance.	neu	neu
QT30_nodeset18286_000	support	other people you mention after self certifying as a coronavirus carrier are going to have to self-isolate as well	all the other people you mention you have been in contact with for a sustained period of time or closer than 2 metres and you get ill, you are effectively dobbing them in	neu	neu
micro_b013_01	support	Besides many general practitioners offer such counselling and treatments in parallel anyway -	Health insurance companies should naturally cover alternative medical treatments.	neu	neu
AAAI2018_01_16	support	 For all people except terrorist that's okey 	I'm against death penalty: a human cannot decide about the life of another human. 	contradiction	contradiction
JoKialo_causal_117003	attack	Tax avoidance helps companies to save money and invest it accordingly.	Avoiding taxes gives some companies an advantage over others, interfering with fair competition.	neu	contradiction
