ID	relation	seg1_text	seg2_text	annot_A3696EQ74RA3FY	annot_AR1X4OG7UKJK2
NK_deb_0779	neutral	From now until November 8 we are taking our ease to the forum in which it belongs , where there is no threat of veto , where there is no parliamentary obstruction , and where we will be successful - and that is the forum of the American people . Until a Democrat is in the White house , the Republicans can block action on an adequate minimum wage , they can water down medical care for the aged , they can play politics with civil rights , they can block action on a decent housing bill and a good school bill . But they can not block the American people on November 8. The theme of this campaign is going to be action - action at home to keep pace with our growing needs , to help the unfortunate , to build a still greater nation - and action abroad , to match the rise in Communist power , to meet the turbulent revolutions reshaping our globe .	 I am sure that the threat of a White House veto mentioned by every speaker opposing the amendment contributed to this defeat . In addition , it should be noted that only one Republican voted for this sound approach to the medical care for the aged program .  This vote demonstrates that if we 're going to have effective legislation in this and other fields , we 're going to have to have an administration that will provide leadership and a Congress that will act .	contradiction	entailment
Webis-Debate_3771	neutral	:::::::::Absolutely! The vague nature of the (Watchtower) article is indeed noteworthy. However, we still can't draw conclusions in the (Wiki) article. And it is of course suitable, and important, to note that other commentators have construed it as a ban.--Jeffro77 (talk)	I agree with what you write here, and with current wording regarding Watchtower's position as of 1967. In 1961 Watchtower expressly asserted human organ transplantation was a personal choice. In 1980 expressly asserted human organ transplantation was a personal choice. In 1967 Watchtower expressed something other.--	contradiction	neu
ComArg_GM_0779	neutral	Normally this question don't be asked !??it's stupide  because everyone has the right to live the life that pleases him. endpoint and gay marriage is totally normal and should be legal &gt;_&lt;	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	entailment	entailment
Webis-Debate_2601	support	Split - Article is over 200 kB, and should be split, starting with animals. Thoughts? Suggestions?--	. It makes sense to break up the article taxonomically. I do not think removing fossil species is a good idea because they tell us about a taxon's entire evolutionary history rather than just those species that survive in the present.	neu	neu
UKP_nuclear_energy_2398	neutral	Nuclear energy is a good energy source for the future.	These discussions always kinda baffle me .	neu	neu
NK_deb_0417	neutral	The next Democratic administration must make revitalization of these declining areas an urgent order of business . First , we will repass , and I will sign , the depressed areas bill making available special funds to areas of long-term unemployment . Second , we will pass , and I will sign , a bill raising the minimum wage to $ 1.25 an hour , to make certain that areas with a longer history of industrial development will not be unjustly penalized in their effort to hold on to existing businesses .	I think that unemployment compensation - our unemployment compensation principles and programs - should be revised , so that we can have a more effective method . That means longer periods which the unemployment compensation covers and also standards which are more general throughout the States , so that you can have a greater cushion during a recession than we presently have . These are the devices that I would use , one , to anticipate recession and , second , to fight it as you get into it and as you get out .	neu	neu
FinARG_MSFT_Q2_2017_17858_6_10	support	but really from an arpu perspective, the biggest driver continues to be the transition to e3.	we're excited about all the customers in trial and are already starting to use the value, whether it's security, increasingly analytics, and ultimately voice.	neu	neu
ArgEss_essay357_03	neutral	classic teaching methods has been scientifically proven and utilized as the best mode of educate a child	teacher cannot be switched with some unconscious screens	contradiction	contradiction
veri_06	neu	International conflicts become more and more frequent.	International conflicts are harmful to the economy.	entailment	neu
QT50_nodeset28667_014	attack	political choices are difficult, Damian Green	the government is deciding to side with the oil and gas companies rather than those pensioners who are struggling to heat their homes	neu	neu
ComArg_GM_0034	attack	Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	contradiction	contradiction
micro_b062_02	support	as upon introduction many current employees of advanced age would immediately be eligible to retire.	The introductory phase of retirement at 63 would also be a particular challenge	neu	entailment
JoKialo_causal_128023	attack	Many single-use plastics can be [reused](https://www.bagtheban.com/learn-the-facts/reusing/).	Plastic bags aren't always reused - there is still a percentage which will only be used once and thrown away.	contradiction	entailment
JoKialo_norm_42626	support	The US should pay reparations for slavery.	The United States federal government should issue reparations to descendants of former slaves in the currency used at the time of enslavement. Namely, Confederate Treasury Notes to families born of Southern slaves and United States Notes for those families born of Union slaves.	contradiction	contradiction
IBM_stance_1834	support	This house would only teach abstinence for sex education in schools	sexual abstinence confers numerous health benefits	neu	neu
ArgEss_essay130_00	neutral	This takes place, not only through direct expenditure from tourists, but also because it provides direct and indirect jobs to the community, including retail, agriculture, and in the service industry	The most obvious merit is that tourism can vastly boost economic development in a particular state or region	entailment	entailment
micro_k015_01	attack	and this would delay the date of completion indefinitely.	BER should be re-conceptualized from scratch,	neu	neu
JoDeb_causal_1066	support	Geoengineering is a good idea.	Geoengineering can be very cheap	neu	neu
JoDeb_causal_0981	attack	Capitalism is the superior system to socialism.	The only genuinely democratic societies have been socialist.	contradiction	contradiction
Webis-Debate_3847	neutral	::Sounds like a good idea to me also.	If/when we change to a wikitable, let's have it sortable.	neu	neu
FinARG_AAPL_Q1_2015_17548_9_18	support	on the other side i think the partnership with ibm and the work that we have going on in the enterprise is profound.	i think we’re really going to change the way people work.	entailment	entailment
AbstRCT_15668285_00	attack	but the study was not designed to detect differences in these parameters.	The 3-weekly irinotecan schedule also seemed advantageous in terms of grade 3/4 diarrhea, time to progression, overall survival and patient convenience,	neu	neu
IBM_stance_2036	support	This house would unleash the free market	"free markets are ""simply more productive"	neu	neu
Web_2917	support	perhaps what is needed is to distinguish between academic freedom and peer review	the debate here is false because both id and darwiniannatural selection theory are inadequate	neu	contradiction
veri_18	entailment	Charles is a king.	Charles is the member of a royal family.	entailment	entailment
AAAI2018_01_26	attack	I think you are right, but is very exception cases, i can be okey with killing them. 	I think we cannot go for death penalty, only god can decide about human life. 	contradiction	contradiction
JoDeb_norm_10261	attack	Prostitution should be legal.	Prostitution is morally wrong	contradiction	contradiction
veri_17	contradiction	The student scored 100 percent in the exam.	The student failed the exam.	contradiction	contradiction
IBM_stance_0998	support	This house believes atheism is the only way	atheism is evidence of a healthy, independent mind	contradiction	contradiction
micro_d15_02	support	Passengers would definitely feel safer then.	This is why we need more police presence in public transport,	entailment	contradiction
JoKialo_causal_105036	attack	People neither choose their first name nor their last name. The same is true for pronouns - these are not chosen by the people themselves.	Adults can change their legal names, therefore there is a high degree of choosing.	neu	contradiction
NK_deb_0952	neutral	Yet that is just what we have been urged to do . When all the vague generalities are stripped away , nothing more is being offered by opponents of the Anderson amendment than an increase in the public assistance program to provide some increased medical care for the indigent . The committee bill does improve our public assistance to the most needy .	They are : ( 1 ) Hospitalization up to 120 days ; ( 2 ) Nursing home care up to 240 days ; ( 3 ) Nursing and other health services at home up to 360 days ; ( 4 ) Outpatient diagnostic services . Such a program will be soundly financed ; it will provide a balanced program of basic health services ; it will relieve the burden upon our hospitals by providing incentives for nonhospital care ; it emphasizes preventive medical care ; and it tends to reduce the overall cost of the program by using less expensive yet more effective medical techniques . Enactment of this legislation during the present session will be a fitting climax to this 25th anniversary of the Social Security Act and mark a historic step forward in sustaining the dignity and self-reliance of our Nation 's senior citizens .	neu	entailment
US2016_nodeset10816_023	support	let's go back to the tax code	it all started with the Bush tax cuts that favored the wealthy	neu	neu
AAAI2018_06_04	attack	 Yes, I think religion is just a poor excuse to make war. We saw this in Paris, in Bruxelles, and all around the world. But I don't think that the real reason is religion. 	 Religion is a fundamental block of man's life. The main issue is that it is always caught in the middle of political debates. Religion does not harm anyone. It's the misconception and the ignorance that does that.	contradiction	contradiction
FinARG_FB_Q2_2017_17626_7_02	support	we're continuing to invest in a number of key areas, hiring engineers to drive the three, five, and 10-year priorities.	from the perspective of hiring growth, i'd really point to the fact that we've been consistently accelerating hiring so far in 2017, and i pointed to the fact that we expect to accelerate hiring in the back half of the year as well.	neu	entailment
ComArg_UGIP_0111	attack	I understand why people want that phrase in there, I do. At the same time however, how in our day and age, with such a diverse group of subcultures within our great country, can we allow something that blatantly disregards all other deities believed in by other Americans? Yes, the majority of Americans may believe in Catholicism and thus not have a problem with the phrase, but being selfless for a second, instead of self-centered, taking those two words out makes a bit of a difference to those who do not believe in that specific deity or any at all. And if we're being honest, why does it matter so much to keep it in?      Some might think, I want it in because I am a devout Christian (or whatever) and I want to represent that in my daily life. But, you know what, that's what churches and other places of worship are for.      Last time I checked, being proud to be an American meant being proud to embrace everything America is built on, namely diversity. We are supposed to be a melting pot of cultures, but with such a phrase, how can we call ourselves truly diverse? I do not think it is bad, just with all of the different religions (and lack there of) it is out of date.	America is based on democracy and the pledge should reflect the belief of the American majority.	contradiction	contradiction
AbstRCT_15378098_01	support	With a mixed modeling approach, total FACIT F scores for the entire sample declined at a significant rate (p = 0.003) beginning with cycle 3	Seated exercise may be a feasible exercise program for women with advanced cancer for controlling fatigue and improving physical well-being.	neu	neu
AAAI2018_02_09	support	 Yes P5. 	 If torturing terrorists is legalized, obtaining information will be done easily. And then we can defeat ISIS fast. 	neu	neu
AAAI2018_01_15	support	Yes terrorists are human , so it is forbidden 	I'm against death penalty: a human cannot decide about the life of another human. 	contradiction	contradiction
veri_02	entailment	My neighbor has an Australian shepherd.	My neighbor has a dog.	entailment	entailment
ComArg_GM_0717	support	Marriage is not a religious right, it is a civil contract issued by a court. Also, the nation cannot conduct laws solely on religious grounds: that is against the First Amendment (Congress shall make no law respecting an establishment of religion,...). America isn't a theocracy and no one's religion should inflict in anyone else's life. I also believe it is blasphemous to conduct God our Lord as hating any person for something no one can alter. Believing God throws gay people to the fires is showing only that you believe they should be. I hope that any person loving another should not be condemned for it, but embraced, and that their partnership is allowed to be recognized by the government even if the public refuses to. God bless the US.	It is discriminatory to refuse gay couples the right to marry	entailment	entailment
IBM_stance_1569	support	This house would criminalize blasphemy	freedom of speech and disseminating ideas do not amount to the right to insult	contradiction	contradiction
AAAI2018_01_19	attack	By animal rights, I mean a way of making sure they are respected properly.	There is no relation between testing on them, and respecting them. We are not going on the street and killing animals that you see.	contradiction	contradiction
JoDeb_norm_7730	attack	The ground zero mosque should be allowed. It is acceptable.	Islam is a religion of violence and conquest.	neu	contradiction
AAAI2018_07_25	attack	My final opinion is that school can sensitize about sex but not distributing condoms for free.	Finally, I also agree with the distribution of condoms in schools, but after making teenagers understand first its meaning.	contradiction	contradiction
ComArg_GM_1276	attack	why cant gays get married? why cant they be happy like everyone else in the twisted world? sure, you dont need marriage to be happy together but dont you find it wrong that straights can and they cant?  USA, country of the free. no. clearly it is not. if you are free you should not be held back because of someone elses decision. i mean, why are gays treated so differently from straights? they're human too. they have the same feelings and deserve the same happiness.	Marriage should be between a man and a woman	contradiction	contradiction
NK_deb_0860	support	Thank you very much . Mr. Nixon 's contention that the hard-hit unemployment areas of the country would have received more help under the administration area redevelopment bill than under the Douglas - Flood bill , which I supported and which President Eisenhower vetoed , is patently absurd . The Vice President is reported to have said in Scranton , Pa .	 But Mr. Nixon and the party he leads say they are content , just as they have always been content , in the face of poverty and unemployment and an America with its most urgent needs unmet . The Republican Party which Mr. Nixon leads today is the same Republican Party which for half a century has opposed every single progressive measure which the Democrats have designed to improve human welfare and reduce human misery - the party which fought against the New Deal and tried to block the Fair Deal - the party which , in the past 8 years has voted aid to areas of unemployment , blocked efforts to improve unemployment compensation , opposed raising the minimum wage , refused to expand the distribution of surplus food to the hungry , and failed to offer one single program to increase the welfare of the American people . But Americans will not forget Mr. Nixon 's party this November - and they will return the Democrats to leadership so that all Americans can share in American abundance .	contradiction	entailment
NK_deb_0656	attack	They are not the goals of his party , and Mr. Nixon and his party have opposed and killed every one of these programs . And their opposition - an opposition born of indifference to the urgent needs of the American people - has helped transform the Duluth - Superior area into a section of declining income , and increasing unemployment . But northern Minnesota has not been the only area to suffer .	These are programs for which I stand . Also , we believe in programs which would deal with the problems of unemployment more effectively . Programs which will deal with the problems of the depressed areas .	contradiction	neu
JoKialo_norm_35195	attack	The government should be involved in the lives of its citizens as little as possible.	Significant government involvement is required to create the security necessary for fulfilling human relationships.	contradiction	contradiction
Webis-Debate_0791	attack	It is proposed to merge this article with Ring Nebula (NGC 6822).	but agreed that a disambiguation page is needed.	neu	neu
NK_deb_1736	neutral	We are trying to encourage individual responsibility . Now let 's take medical care for the aged . I can speak from a personal standpoint about this .	Now , anyone who believes that under those conditions we should continue that kind of leadership , that supports leadership that twice , not once , but twice vetoed the area redevelopment bill , sponsored by your Congressman , Dan Flood , and your Senator , Joe Clark - anyone that believes that a minimum wage of $ 1.25 is extreme , Mr. Nixon is your man . But anyone who believes as I do that this country will never be strong in the world , that we will never be successful in turning Mr. Khrushchev back , we will never be successful in expanding freedom around the world unless we have in this country a strong and vital and progressive society , and that is what we are committed to , that is what we are committed to , and I believe the American people on November 8 , faced with a choice of a leadership that looks to the past and the present , and recognizing that this country , the only hope of freedom that there is , we are the only sentinel at the gate , and if we do n't move ahead , if we do n't provide employment for our people , if we do n't use our facilities to the fullest , if we do n't educate our children and provide under social security medical care for our aged and jobs for those in between , then the United States , instead of being the leader of the free world , will cease to count as the only hope of freedom . Mr. Khrushchev does not take a country as seriously - when he is able last week to produce almost as much steel as the United States , and he is now producing twice as many scientists and engineers .	contradiction	neu
IBM_stance_0471	support	This house believes that the right to asylum should not be absolute	Frequently, countries of asylum are some of the world?s poorest nations and cannot handle the large influx of persons	neu	neu
veri_03	contradiction	The government released the report today.	The government is holding back the report.	contradiction	contradiction
JoDeb_norm_9709	attack	Marijuana should be legalized.	Marijuana is addictive	neu	neu
UKP_school_uniforms_newFormat_1825	support	School uniforms should be established in schools.	Off course there are no uniforms in offices but professionalism and adherence to policies is what uniform-friendly children tend to exhibit more than casual kids .	entailment	neu
