ID	relation	seg1_text	seg2_text	annot_AT0PWVD2PHDQ	annot_ARA95W8C0JZVY
NK_deb_0864	neutral	And on the other side there is the wrong and demagogic way - the right that I have pointed out , the wrong which Senator Kennedy has advocated - and I say this is a way of shooting from the hip on matters gravely affecting the security of the United States . And , so , finally , let 's look at the record , all three , the position on Quemoy and Matsu - slice off a bit of freedom ; maybe it will lead to peace ; the position on the summit conference - express regrets to Khrushchev ; maybe we can save the conference , and then this latest episode with regard to Cuba . I think when you look at these three episodes that this should convince many Americans that they could not rest well at night with a man with such a total lack of judgment as Commander in Chief of our Armed Forces in this critical period .	We certainly can not , and we wo n't . As a matter of fact , this talk about the fact that Cuba is lost and that Ghana is lost , and Guinea is lost , incidentally - and they have also claimed that - is irresponsible in the extreme . Cuba is not lost .	entailment	contradiction
JoDeb_causal_1689	support	The idea of missile defenses in the Czech Republic and Poland is justified.	Radar in Brdy is vital to Czech Republics security.	entailment	entailment
FinARG_FB_Q3_2015_17229_7_02	support	and on the other axis, you get everything ranging from one-to-one messaging to small group communication, to communicating with all your friends at once, to big interest groups, to completely public.	and what we believe is that you can intersect at any point on that.	entailment	entailment
UKP_death_penalty_2436	neutral	Death penalty should be an option in the penal code.	A guy drives a friend to a 7-11 to get cigarettes .	entailment	neu
IBM_stance_1084	attack	This house believes that democratic governments should require voters to present photo identification at the polling station	Voter identification laws could suppress the turnout by voters	entailment	contradiction
JoKialo_causal_69416	neutral	There has been a history of Muslims in India suffering violence and state oppression.	Both countries have been involved in cross-border skirmishes) over Kashmir.	entailment	neu
veri_15	entailment	Thomas has three children.	Thomas is a father.	contradiction	entailment
FinARG_FB_Q4_2016_17291_7_04	support	we're now per month at a billion messages sent between people and businesses,	and we think that's very promising for our ability for people to use this platform to make those connections that will ultimately drive business opportunities.	contradiction	entailment
UKP_school_uniforms_newFormat_2896	neutral	School uniforms should be established in schools.	In some educational institutions it is compulsory , while in others it ’s not .	contradiction	contradiction
QT50_nodeset28931_004	support	scrapping National Insurance while failing to replace it is the problem	National Insurance has not been replaced by anything of such significance	entailment	entailment
IJCAI2015_02_04	support	They might be positive effects of using nuclear technology, but I think the consequences of a failure in the system are too large to keep using it. The radiations last for years after a tragedy.	The balance here is about cost and pollution but the eventual damage can be more important than that, we can be sick or loose our lives.	contradiction	entailment
Webis-Debate_0777	attack	Is there any reason this page needs to be 'cleaned up'? Sure, there's lots of information about the show, but it's been on the air for 30 years- lots of things have changed. Aside from minor grammar changes, it looks fine.	and will cleanup when I have time. I agree this page has a ton of great information, but is unevenly written. Basically, I'd create a page specific to the U.S. version, plus provide links to new articles for international versions (in keeping with Wikipedia's world POV policy), the 1950s WOF and the ill-advised Wheel 2000. [[	neu	neu
IBM_stance_0279	support	This house would ban boxing	Headgear is not permitted in professional bouts, and boxers are generally allowed to take much more damage before a fight is halted	neu	contradiction
JoKialo_causal_78815	attack	"""We don't understand it yet."" is not an explanation, it's an admission of ignorance. We may not understand a particular thing, but that doesn't necessarily imply that any given explanation \(in this case God\) cannot be inferred as the best explanation for a certain phenomena, or set of phenomena."	An admission of ignorance is ok if you don't have knowledge.	contradiction	entailment
ArgEss_essay123_04	neutral	they believe they are immature and they can trap them easily	They cheat young ages	neu	neu
NK_deb_0732	neutral	But in the case of both Africa and Latin America , the hour is late , the world is moving fast , our role and our position have changed , and I do think it is vitally important in those areas and in other areas that we precede events ; that we do not move after them . In other words , I do not like to see the United States offer assistance to Latin America as a result of difficulties in Cuba . I would like to see us offer the hand of friendship to Latin America because of a traditional conviction that the United States can not maintain its freedom unless Latin America is a strong and viable and growing hemisphere .	, said :  There are those who are going around the country crying 'doom and gloom , ' but we just built the largest shopping center in the world .  I am not satisfied to have the largest shopping center as long as the Soviet Union is moving in Latin America , Asia , and Cuba . I think we can do better ; that is the question before us in 1960 .	neu	neu
US2016_nodeset10856_011	support	USA is in deep trouble	The NAFTA agreement is defective	neu	neu
Webis-Debate_3995	neutral	:The following discussion is an archived discussion of a requested move. Please do not modify it. Subsequent comments should be made in a new section on the talk page. No further edits should be made to this section. The result of the move request was: page not moved per discussion below. The guideline in question does not appear to enjoy clear consensus support, and lack of consensus to rewrite it is not proof of consensus for it. This and similar concurrent move requests make it clear that consensus is yet to be determined, and this conversation is one part of that determination. -	' - Would you mind elaborating please, as to how the naming convention is relevant to this issue and what points of the naming convention are the grounds for your argument.--	entailment	neu
ArgEss_essay162_00	neutral	These days, millions of people can travel around the world for work or pleasure	cheap air fares have broadened travel possibilities for many people, particularly for the lower income group	neu	entailment
UKP_school_uniforms_newFormat_0793	attack	School uniforms should be established in schools.	One study done in the state of Louisiana found that the only benefits derived from school uniforms ended once the students left middle school , and that no benefits were found for high school students .	contradiction	contradiction
AbstRCT_16921034_01	support	Compliance with QOL was 87% at baseline and more than 70% during treatment.	Erlotinib not only improves survival in previously treated patients with NSCLC, but also improves tumor-related symptoms and important aspects of QOL.	neu	contradiction
IBM_stance_1493	attack	This house believes that Israel's 2008-2009 military operations against Gaza were justified	"disproportionate destruction and violence against civilians were part of a deliberate policy"" by Israel"	contradiction	entailment
veri_22	contradiction	Wilma payed back all her creditors.	Wilma still owes money to Bob.	neu	contradiction
NK_deb_1678	attack	In short , the high cost of living hurts almost every American . But its hurts most of all those whom the Republican brand of prosperity has left far behind - the 4 million unemployed , whose jobless insurance check is too low to meet these costs - the 3 million put on a short work week because our growth has slowed down and our major industries ( such as steel and coal and textiles and autos ) are below capacity - the millions earning the bare minimum wage , $ 1 an hour , $ 40 a week - which can not possibly be enough at today 's prices - the millions on an inadequate social security check - the schoolteachers in need of Federal aid - millions of Americans caught in a squeeze of costs rising faster than income - millions of Americans asking for help . Finally , last year , the Republicans decided to do something bold .	The administration 's position is in between . We would extend coverage to approximately 3 million not presently covered , and the coverage which we would extend is to those particular businesses which operate interstate and which have larger gross incomes and , therefore , businesses that we think could , therefore , pay the minimum wage , not resulting in unemployment , which might result if such businesses covered by the broader coverage of the Kennedy bill were brought under the minimum wage . I think the administration bill is the proper approach , and within the Senate at the present time , where the legislation currently is lodged , I am pressing for adoption of the administration bill .	neu	contradiction
UKP_gun_control_2888	neutral	Gun laws should be more restrictive.	If violent media can be blamed for gun violence , then we do n’t have to deal with the complex web of psychological and societal issues that lead us to be violent .	neu	contradiction
veri_26	neu	Bananas are yellow fruits.	Bananas are tasty.	entailment	neu
JoKialo_causal_44375	neutral	Outside spending favoured Romney over Obama in the elections at a ratio of 3.5 dollars to 1.	If some people were able to vote more than others because they had more money, that would certainly be objectionable.	entailment	entailment
UKP_marijuana_legalization_0094	attack	The consumption of marijuana should be legalized.	Some consider use of the drug as morally wrong .	neu	neu
US2016_nodeset10307_001	support	screw Rosie O'Donnell	apparently saying that raises you in the polls	neu	neu
ArgEss_essay331_03	neutral	it is the most remarkable sign of the city, and also it is the inevitable history of Beijing, even the entire China	when somebody mentions Beijing, China's capital city, you will immediately have Capital Palace come to appear in your mind	contradiction	entailment
AbstRCT_20142538_01	support	FCLT was associated with greater percentage reductions in diurnal IOP levels and a greater likelihood of achieving lower mean diurnal IOP levels.	Fixed-combination latanoprost-timolol therapy is as safe and effective in lowering IOP in patients with either ocular hypertension or glaucoma as monotherapy with latanoprost or timolol.	contradiction	neu
micro_b041_04	support	for it jeopardizes the secrecy and security of confidential data and informants.	Parliamentary control however hampers the work of intelligence services	neu	entailment
JoDeb_norm_1494	attack	Palestinian statehood should be recognized in the United Nations.	US supports two-state solution, but not via UN	neu	contradiction
US2016_nodeset10866_027	support	we need to solve this in a global way	the so-called agreements that we have had with China are illusory in terms of the immediate requirements of the  Chinese government itself	neu	neu
IJCAI2015_04_03	support	During all the existence of human being, religion makes a lot of issue. It make more hurts than curs. 	Regardless of the protestations of some there is no major religion that has not been involved in persecuting non-believers at some point in its history and most still are. 	neu	entailment
AbstRCT_18959455_00	support	Results indicated statistically significant differences for 4 of the 6 quality of life measures: anxiety (p = .03), perception of hospitalization (p = .03), relaxation (p = .001), and stress (p = .001).	This research study indicates that live music therapy using patient-preferred music can be beneficial in improving quality of life indicators such as anxiety, perception of the hospitalization or procedure, relaxation, and stress in patients undergoing surgical procedures of the brain.	neu	entailment
NK_deb_0619	neutral	That was the Truman recession of 1949 . Unemployment jumped to almost 5 million . What saved the opposition this time from a dragging economy ? The Korean war .	[ Applause . ] As long as there are 15 million Americans who live in substandard homes , as long as the average wage for laundry women in five large cities of the United States , and most of them are Negroes , is 65 cents for a 48-hour week , as long as the average unemployment compensation check in this rich country is less than $ 31 a week for a man out of work to support his family , as long as nearly 5 million Americans live on a surplus food package from the Government that amounts to 5 cents a day per person , as long as in Cuba and in other places in Latin America , as long as Africa , begins to turn against us , as long as we no longer possess an image in the world of a society on the move , so long is there need for our party on this occasion , and I come and ask your support . [ Applause .	neu	neu
veri_06	neu	International conflicts become more and more frequent.	International conflicts are harmful to the economy.	neu	neu
AAAI2018_07_11	support	 In fact I agree with that, it's the people responsibility. 	 Anyway, if something wrong happens to a child who has not been vaccinated due to their parents, it must be their fault as THEY decided not to do so. 	entailment	entailment
AbstRCT_21680022_02	support	Responder rates were 60% for latanoprost and 52% for timolol (P=0.33).	Latanoprost 0.005% is not inferior (i.e., is either more or similarly effective) to timolol and produces clinically relevant IOP reductions across pediatric patients with and without PCG.	neu	neu
AAAI2018_09_00	support	 In my opinion, single sex schools are not a bad thing during childhood to help each sex to focus on education. 	 I am in favor of single-sex schools: studies conducted have shown that boys gain more academically from studying in co-education schools, but that girls find segregated schools more conducive to achievement. Thus, for girls, single-sex schools are better for their education. 	contradiction	contradiction
JoDeb_norm_8683	support	The Fairness Doctrine in the United States should be reinstated.	Fairness Doctrine counters corporate control of broadcasting	entailment	entailment
Web_2029	attack	UKIP language tends to portray the real experiences of UKIP people not the politically correct fantasy construct that too many people on here seem comfortable with.	But Mr Cameron dismissed UKIP's showing as a protest by voters and promised to stay true to his principles.	neu	neu
UKP_abortion_1779	attack	Women should have the opportunity to get legal and safe abortion if they want	He ends up having the baby and the baby is the apple of his eye .	neu	contradiction
Web_1970	support	UKIP and the Greens are the only parties to date that haven't screwed us all over.	I was delighted to cast my vote for [UKIP leader] Nigel Farage's team in Sussex, where I live, said Lynam.	entailment	entailment
Webis-Debate_0414	attack	Laguna (province) → Province of Laguna – Proposing change because of incorrect and inappropriate naming of this article. Also, this proposed name was also used in some legal documents and on its official site.	. Article titles policy of Wikipedia gives the instruction to name articles based on their common names. The article about Kentucky isn't titled as Commonwealth of Kentucky because that is the official name of the state. Same concept applies here too. In this case, since there are far more than one article is pointed to Laguna, it was disambiguated from the other articles titled as Laguna by putting it as a (province).	entailment	entailment
QT50_nodeset29203_001	support	the basic advantage of Brexit is democracy	you now decide how you are governed	entailment	entailment
micro_k013_01	support	Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper.	Hence it is good when shops are not open on Sundays and public holidays.	entailment	contradiction
UKP_cloning_1134	neutral	Cloning should be considered as a promising opportunity for human development.	More importantly , our genes do not , on their own , bind our future life to a particular course .	contradiction	neu
Web_3278	attack	faith is believeing in something without evidence	evolution has actually never been observed	neu	neu
veri_07	entailment	At noon, the sky was blue and there was not a single cloud.	At noon, the sun was shining.	entailment	entailment
ComArg_UGIP_0209	support	This line seriously needs to be removed. The way I look at it, this line excludes everyone who isn't calling this 'higher power' God. Now, being an athiest, I guess I have a more bias opinion, but this line is basically stating only the people calling this higher power 'God' are included as patriots, and this line violates our first amendment rights. why is this line still here? or better yet, why was it added in the first place?	Removing under god would promote religious tolerance	contradiction	entailment
AAAI2018_010_19	attack	"I do not agree with this: ""Put yourself at the site of the diseased or malformed children makes you wonder if it's better off dead"". It is a form of eugenics to me."	The site of the diseased or malformed children is made by actual human, if you're not born, you're not a human yet, specially at the second semester.	contradiction	contradiction
