ID	relation	seg1_text	seg2_text	topic	nli	annot1	annot2	gold	neu conflict	disagree
micro_b062_02	support	as upon introduction many current employees of advanced age would immediately be eligible to retire.	The introductory phase of retirement at 63 would also be a particular challenge		neutral	neu	entailment	neu	True	True
FinARG_AAPL_Q1_2018_18849_7_04	support	and so that’s ipad, it’s mac and those are huge numbers as well.	and so as we’ve always said, there is a large part of the -- or the vast majority of the services are mapped to the install base instead of the quarterly sales.		neutral	neu	neu	neu		
DebPed_143	attack	Clouds and smog undermine solar energy unlike other energy sources. If it is cloudy, the output of solar energy can be reduced by over ninety percent. This means that solar energy is entirely dependent on good weather, an unpredictable variable that is economically unattractive.	Solar energy is abundant. Every minute, enough energy arrives at planet Earth to meet human energy demands for a year. It is, therefore, the most abundant energy source available to humans. This abundance makes it an economic gem.	Solarenergy	contradiction					
FinARG_AMZN_Q2_2015_17330_9_02	support	we definitely are delivering a lot of packages with the post office.	so we try lots of things for fulfillment.		neutral	neu	neu	neu		
FinARG_FB_Q4_2019_17761_7_09	support	so whether that's marketplace for buying and selling things.	but there are different social utilities that even if not everyone wants to use them, hundreds of millions of people might find value in.		neutral	neu	neu	neu		
AAAI2018_09_05	attack	 Part. 5, I could reverse your argument, what's the point of not mixing them, as they are already mixed in society? 	 As they are already mixed up in society, what are the benefits to have them together at school as well? I'm talking about primary and secondary school. 		neutral	contradiction	contradiction	contradiction		
Web_2029	attack	UKIP language tends to portray the real experiences of UKIP people not the politically correct fantasy construct that too many people on here seem comfortable with.	But Mr Cameron dismissed UKIP's showing as a protest by voters and promised to stay true to his principles.		neutral	neu	neu	neu		
DebPed_233	support	 Millions of Canadians continue to drink and drive because they can do so with little fear of being stopped, let alone charged and convicted. Recent survey results and charge and conviction data indicate you could drive drunk once a week for more than 3 years before ever being charged with an impaired driving offence, and for over 6 years before ever being convicted. Other survey data would put the figures closer to 6 and a half years before a charge, and nearly 13 years before a conviction.	Random sobriety tests for drivers are effective at deterring drunk driving.	Sobrietytest	neutral					
JoDeb_causal_2200	support	Biofuels as a solution to global warming are good.	Carbon neutral biofuels only emit CO2 they draw from atmosphere		neutral	entailment	entailment	entailment		
AAAI2018_02_11	attack	Nuclear power is clean and emits significantly less CO2 than other renewable energy sources.	I think there are many cleaner and less dangerous alternatives such as solar power.		neutral	contradiction	contradiction	contradiction		
QT50_nodeset28835_001	support	Anne McElvoy has something a little bit less good to say to the IMF	there was a lot of commentary from the IMF which went beyond where the IMF should be which is where the top tax rate should be		neutral	neu	neu	neu		
ArgEss_essay094_07	neutral	if a child is educated to have a hygienic lifestyle at a very young age, he also keeps it when older	Health education causes long-term positive effects on our next generations		neutral	contradiction	contradiction	contradiction		
JoKialo_causal_96474	attack	The doctors may not have any real way of knowing if assisted death is best for their patient, which could lead to guilt later on.	Doctors are professionals that deal with life and death everyday, as such, they should handle feelings of guilt, rage or sadness or get appropriate treatment.		neutral	contradiction	contradiction	contradiction		
DebPed_037	attack	Unlike nicotine or caffeine, coca chewing causes no harm to human health nor addiction or altered state, and it is effective in the struggle against obesity, a major problem in many modern societies.	"Coca chewing is bad for human health. The decision to ban coca chewing fifty years ago was based on a 1950 report elaborated by the UN Commission of Inquiry on the Coca Leaf with a mandate from ECOSOC: ""We believe that the daily, inveterate use of coca leaves by chewing is thoroughly noxious and therefore detrimental""."	Cocanarcotic	contradiction					
12Ang_052	ATTACK	That's the most fantastic story I've ever heard. You made it up.	The old man wouldn't really lie. But perhaps he'd make himself believe that he heard those words and recognized the boy's face.	Act2-TwelveAngryMan	neutral					
DebPed_007	attack	People know video game violence is fake.	Youth playing violent games exhibit more aggression.	Violentgames	contradiction					
QT30_nodeset18302_004	support	make sure people can navigate their way through what's going to be a difficult period	individuals and businesses have to participate in contact tracing		neutral	neu	neu	neu		
DebPed_245	attack	"Osama photos could put US troops at even greater risk. Rep. Mike Rogers, the chairman of the House Intelligence panel, opposes making the photos public, saying he doesn't want the images to ""make the job of our troops serving in places like Iraq and Afghanistan any harder than it already is. The risks of release outweigh the benefits."""	National security secrets not at risk in releasing Bin Laden photos. If national-security secrets were revealed in the photos, the equation would be different. But that's not the case with a single image of the terrorist leader's dead body.	Osamaphoto	neutral					
JoKialo_norm_35195	attack	The government should be involved in the lives of its citizens as little as possible.	Significant government involvement is required to create the security necessary for fulfilling human relationships.		neutral	contradiction	contradiction	contradiction		
AAAI2018_09_08	support	 By the way, mixing up children is possible when practicing sports or other extra school activities. 	 It is easier to implement an education strategy geared specifically towards one gender. And both genders will gain from it. 		neutral	neu	contradiction	neu	True	True
AbstRCT_23989945_03	support	no significant difference between treatment arms in terms of overall costs or Quality Adjusted Life Year.	Nevertheless, both community settings were acceptable to and preferred by patients compared with hospital, were safe, with no detrimental impact on overall health-care costs.		neutral	contradiction	contradiction	contradiction		
AAAI2018_07_25	attack	My final opinion is that school can sensitize about sex but not distributing condoms for free.	Finally, I also agree with the distribution of condoms in schools, but after making teenagers understand first its meaning.		neutral	contradiction	contradiction	contradiction		
AbstRCT_15037889_01	support	No changes in the optic nerve head topography in the vertical cup-to-disc ratio and rim area measured by image-analysis techniques were observed in either group.	both showed similar effects on visual field performance.		neutral	neu	neu	neu		
DebPed_262	support	Internet access is not really essential. It is much easier than people think to live without the Internet. People were able to lead happy succesful lives in the past without the Internet, and they are able to do so now as well. While there are certainly luxuries surrounding the use of the Internet, it is excessive to deem it as essential to human life and happiness. It is excessive there to deem it as a fundamental human right on these grounds.	Internet not as important as real rights. We may think of such trivial things as a fundamental right, but consider the truly impoverished and what is most important to them. The right to vote, the right to liberty and freedom from slavery or the right to elementary education. Perhaps it's time for a reality check, and to re-examine which of our 'rights' are truly important.	Internetaccess	neutral					
DebPed_285	support	It's not true that all terrorists are Muslims. Any such measure would not only alienate people, it would also be ineffective in terms of stopping terrorists. What's to stop them dressing up as orthodox Jews in order to evade profiling-based searches?	"Racial airport security profiling is also unworkable. Once aware of national profiling, terrorists will simply use people from ""non-profiled"" countries or origins, like FBI most-wanted Qaeda suspect Adam Gadahn, an American."	Securityprofiling	neutral					
DebPed_173	support	Individuals should be free to use marijuana. If an individual wants to harm themselves, they should be free to do so.	Individuals should be at liberty to use marijuana.	Marijuanafree	entailment					
AbstRCT_22370314_04	support	The 1-year PFS rates were 16.7% with gefitinib and 2.8% with GP (HR, 1.198; 95% CI, 0.944 to 1.520).	Gefitinib failed to demonstrate superior OS compared with GP as first-line therapy for NSLAs.		neutral	neu	neu	neu		
12Ang_045	ATTACK	"I don't think he could have heard [the old man yelling ""I'm going to kill you""]."	"[The old man] said the boy yelled [""I'm going to kill you""] out. That's enough for me."	Act2-TwelveAngryMan	contradiction					
NK_deb_0136	neutral	No one group can confine itself to a single aspect of medicine . All of them - medical and dental schools , hospitals and research institutes - provide medical care , teaching and research training . In no other scientific field is there such intense and constant interplay between research , teaching , and practice .	Fifteen million American families live in inadequate housing . The average social security benefit is less than $ 78 a month for someone who is retired , and out of that he has to pay food and housing and medical care . Anyone who says that there is nothing left to do , that all the things that had to be done were done by Truman or Roosevelt , I think is wrong .		neutral	contradiction	neu	neu	True	True
ArgEss_essay130_00	neutral	This takes place, not only through direct expenditure from tourists, but also because it provides direct and indirect jobs to the community, including retail, agriculture, and in the service industry	The most obvious merit is that tourism can vastly boost economic development in a particular state or region		neutral	entailment	entailment	entailment		
FinARG_FB_Q4_2016_17295_7_03	support	but it has really important impacts, not just in their ability to serve the right ads to the right person at the right time, but also their ability to optimize their ads for our format.	that once they understand what's really moving their product off shelves, online and off, that's where we get to the real work we need to do to optimize the ad and really work on the targeting.		neutral	contradiction	entailment	entailment		True
QT30_nodeset19176_014	support	Marie van-der-Zyl would prefer xxx of the two, Biden or Trump	historically the Jewish community, 75 per cent of them would usually be voting Democrats		neutral	neu	neu	neu		
micro_k015_01	attack	and this would delay the date of completion indefinitely.	BER should be re-conceptualized from scratch,		neutral	neu	neu	neu		
Webis-Debate_3055	support	:Comment: you should change the page name, but not the request name if a consensus is reached. Wykx	This title is very confusing and incorrect.		neutral	neu	contradiction	neu	True	True
DebPed_209	support	"China would have far too many children if not for ""one child"". China estimates that it has three to four hundred million fewer people today with the one child policy than it would have had otherwise."	"China's ""one child"" policy is key to stabilizing global population growth. With 1.3 billion people, a fifth of the world's population, China must be a major part of the solution to the global population crisis."	Chinaonechildpolicy	neutral					
QT30_nodeset23716_000	support	the COVID support can't go on ad infinitum as we move out of this period	the COVID support, 407 billion pounds so far, everyone appreciates that we have to pay for it somehow		neutral	entailment	entailment	entailment		
AAAI2018_012_31	attack	YES CANNABIS SHOULD BE LEGALIZED, CONSUMMATION IS A PERSONAL LIBERTY BUT some restriction must be imposed. 	It's unacceptable to create a law to use bad stuff unless they prove that there is a benefits. 		neutral	neu	neu	neu		
QT50_nodeset29068_005	attack	we would fund the recruiting by ending the non-dom tax status	ending non-dom tax status is not going to cover NHS recruitment costs though		neutral	contradiction	contradiction	contradiction		
DebPed_246	support	"Upside of photos insufficient to counter inflammation. Ibrahim Hooper, director of the Council on American-Islamic Relations, said releasing macabre pictures ""would be unnecessarily inflaming passions in many areas of the world. Why take that risk? The upside is not going to be that great no matter what you do."""	"Releasing Bin Laden photos would inflame Muslim world White House Spokesman Jay Carney: ""There are sensitivities here in terms of the appropriateness of releasing photographs in the aftermath of this firefight. It is fair to say they're gruesome photographs. It is certainly possible that it could be inflammatory""."	Osamaphoto	neutral					
DebPed_124	support	No fly zone in Libya prevents a massacre.	A no-fly zone over Libya has a significant impact on conflict.	Noflyzone	entailment					
Webis-Debate_0777	attack	Is there any reason this page needs to be 'cleaned up'? Sure, there's lots of information about the show, but it's been on the air for 30 years- lots of things have changed. Aside from minor grammar changes, it looks fine.	and will cleanup when I have time. I agree this page has a ton of great information, but is unevenly written. Basically, I'd create a page specific to the U.S. version, plus provide links to new articles for international versions (in keeping with Wikipedia's world POV policy), the 1950s WOF and the ill-advised Wheel 2000. [[		neutral	neu	neu	neu		
QT30_nodeset20736_000	attack	we all have to remember as we move forward that it is nothing compared to what Sara Everard's family are feeling this morning	we're talking about Sara Everard's murder in a clinical, policy-driven way about an appalling human event		neutral	contradiction	neu	neu	True	True
IJCAI2015_06_02	support	Bullies should face the law. Why would bullies not face the law ? 	Bullies have to face the force of the law in any case. Death of the victim or not. 		neutral	contradiction	entailment	entailment		True
DebPed_286	support	Profiling alienates groups needed in terrorism fight. Treating all Muslims as suspects also undermines our efforts to gain intelligence on terrorists. We shouldn't be profiling the very communities we need information from to catch the bad guys. Umar Abdul-Muttallab's father gave us such information to prevent the Dec. 25 terror plot.	It's not true that all terrorists are Muslims. Any such measure would not only alienate people, it would also be ineffective in terms of stopping terrorists. What's to stop them dressing up as orthodox Jews in order to evade profiling-based searches?	Securityprofiling	neutral					
Webis-Debate_0414	attack	Laguna (province) → Province of Laguna – Proposing change because of incorrect and inappropriate naming of this article. Also, this proposed name was also used in some legal documents and on its official site.	. Article titles policy of Wikipedia gives the instruction to name articles based on their common names. The article about Kentucky isn't titled as Commonwealth of Kentucky because that is the official name of the state. Same concept applies here too. In this case, since there are far more than one article is pointed to Laguna, it was disambiguated from the other articles titled as Laguna by putting it as a (province).		neutral	entailment	entailment	entailment		
12Ang_071	SUPPORT	That's a difference of six inches [between the boy and his father]. It's a very awkward thing to stab down into the chest of someone who's half a foot taller than you are.	[Maybe the boy] is not guilty.	Act3-TwelveAngryMan	entailment					
ArgEss_essay062_00	neutral	Both genders are the fulcrum of the society and none of them is superior or inferior	Equality in education will help in development of the society		neutral	entailment	contradiction	entailment		True
DebPed_207	attack	In experimental studies, children who view violent television shows or films — or who play violent video games — are significantly more likely to behave aggressively in comparison to children who view nonviolent television shows or films, or who play nonviolent video games. In long-term studies, individuals who consume violent media during childhood end up more aggressive as adults, in comparison with peers who consume nonviolent media during childhood.	F.B.I. data shows that youth violence continues to decline. It is now at its lowest rate in years. Violent video games, therefore, can hardly be seen as a major problem since they've been around for years.	Violentgames	neutral					
DebPed_292	support	"Natural gas can help smooth the transition to renewable energy. Natural gas is a good first step in cutting emissions, and can act as a bridge to cleaner alternatives. The supporters of the Broadwater LNG terminal in Long Island Sound make this case: ""Natural gas play a vital role in providing a bridge from traditional fossil fuels to a renewable energy future"". "	Gasoline vehicles can be converted to run on natural gas. This means that heavy-polluting vehicles can be transformed into much lower-emission vehicles. This is key, as the millions of gasoline vehicles on the road currently cannot be immediately removed from the road.	Gasvehicles	neutral					
ComArg_UGIP_0432	attack	I'm an atheist and think that many people over react to the words Under God. I think there are many admiral qualities religion in America has to offer even those without a belief in God. I am trying to be tolerant of my Christian, Jewish, Muslim, and other friends just as they have been tolerant of me and my ideals. I personal don't feel insulted by the inclusion of those words. I also don't think they are meant to combine the words believer and patriot. I say the pledge just like any other God fearing American would even though I don't  have the faith in a higher being that my friends have. I think that for atheists God can be translated into, possibly, a higher purpose or a set of ideals that better us without the need for a particular religion. I just hope that everyone in America can get along, stop being offended by every little thing, and stop fighting over such a silly debate.	Removing under god would promote religious tolerance		neutral	contradiction	neu	neu	True	True
JoDeb_norm_0318	support	The US should adopt a different method of electing its President.	The electoral college is undemocratic because it is not based on the popular vote:		neutral	neu	entailment	neu	True	True
UKP_nuclear_energy_1749	neutral	Nuclear energy is a good energy source for the future.	So the question is still open if it is possible to make reprocessing work at reasonable costs and without producing lots of waste .		neutral	neu	contradiction	neu	True	True
DebPed_042	attack	Claiming, let alone believing, an arena where very young children are primped like mini-adults and pitted against each other in a bid to decide who's the prettiest is good for confidence or self-esteem, is to dwell in a fool's paradise.	Beauty contests can boost a child's self-esteem. The most cited reason parents give for putting their children into beauty pageants is to boost their child’s self-esteem, as well as teach poise, public speaking skills, tact, and confidence.	Childbeautycontests	contradiction					
AbstRCT_12748244_01	support	Drug-related toxicities were more frequent in the higher-dose group.	At 250 mg/d, gefitinib had a favorable AE profile.		neutral	neu	contradiction	neu	True	True
