ID	seg1_text	seg2_text	gold
ArgEss_essay331_03	it is the most remarkable sign of the city, and also it is the inevitable history of Beijing, even the entire China	when somebody mentions Beijing, China's capital city, you will immediately have Capital Palace come to appear in your mind	entailment
JoKialo_causal_14092	Rote-learning and significant learning are not opposites, instead they complement one another.	Students were seen to develop a stronger sense of communication within their schools. (p. 1530)	neu
JoDeb_norm_0390	Corps. do have a right to free speech and to spend w/o limit in elections.	Unlimited spending breaks stranglehold of incumbents	neu
Webis-Debate_0777	Is there any reason this page needs to be 'cleaned up'? Sure, there's lots of information about the show, but it's been on the air for 30 years- lots of things have changed. Aside from minor grammar changes, it looks fine.	and will cleanup when I have time. I agree this page has a ton of great information, but is unevenly written. Basically, I'd create a page specific to the U.S. version, plus provide links to new articles for international versions (in keeping with Wikipedia's world POV policy), the 1950s WOF and the ill-advised Wheel 2000. [[	neu
IJCAI2015_02_03	Welcome to the second debate! The topic of the second debate is Go nuclear! 	For example, we cannot prohibit children from using computer because it has some negative effect! what we do in such situation is that we control them remotely. Right? I think we should do the same for nuclear.	contradiction
FinARG_MSFT_Q3_2016_17185_6_00	i mean, i think the overall for me across all of our product lines, whether it be windows or whether it be office 365 or azure, developer momentum, isv momentum is super important priority for us, both in terms of our developer evangelism, our product engineering teams, as well as everything that we will do to even create success for our partners through our field sales organization is a top of mind priority.	so you will only increasingly see us deliver more design wins there.	neu
IBM_stance_1784	This house would only teach abstinence for sex education in schools	Programs that stress abstinence as the only acceptable behavior for unmarried teens delay the initiation of sex	entailment
Webis-Debate_0621	This article overlaps greatly with Microfabrication. I admit that the two terms are not exactly synonymous, and each includes some areas that the other does not. However, I think that we should restructure our coverage of micro/electronic fabrication to eliminate this overlap and clearly identify non-overlapping areas. --	per Dick. While microfabrication has largely been a semiconductor-dominated field in the past, the development of biomedical MEMS and the like have provided the motivation for developing microfabrication techniques for totally unrelated materials like polymers. These articles should remain separate and have little overlap, even if the articles' current status don't reflect this ideal. -- mattb @ 2007-01-18T19:55Z	neu
US2016_nodeset10384_004	it's horrible how biased the coverage is	user progress18 is also the moderator of /r/HillaryClinton and a full-time poster on /r/Democrat	neu
JoDeb_norm_5980	Acts of hate should be criminalized.	Hate crimes cannot be proven to harm communities	contradiction
Webis-Debate_0033	"Switch → Switch (Electronics) –There are an awful lot of potential things that ""switch"" could be other than electrical switches, and I don't see why electrical switches should have a full hold on the general term ""switch"" when many other items in that list also go by the general term switch (I came here for network switches). Considering that (I counted 36 ""may means"") I think it might be more helpful to users to have Switch redirect to Switch (disambiguation) and have this article renamed ""Electrical switch"". I won't act without consensus, though. What do you think?"	- this has got to be the most common use, and the railfans aren't seriously inconvenienced by it. --	neu
micro_k031_01	Time and again children or the elderly slip on them.	Pieces of dog poo on the pavements are a real danger.	entailment
QT50_nodeset29206_009	there's absolutely no doubt that the Conservatives' Brexit deal has been devastating for our economy	fishermen have lost out	neu
NK_deb_0232	They talked . But what did they produce ? They promised a 25-percent minimum wage increase in place of the program that President Eisenhower asked for and that could have been passed and should have been passed . What did the workers get ? Nothing at all .	It is not only medical care for the aged . It is minimum wage , it is housing for the elderly , public housing . It is all under social security .	neu
ComArg_GM_0804	One of my objections to same sex marriages is that it may give those people monetary advantages intended for normal married couples.  The prime example is that they would receive a reduction of their Federal, and probably State, income taxes if allowed file jointly.  If you go back and study the Congressional committee reports that established the Federal reduction of taxes for married couples, I believe you will find that it was based on the premise that a wife during her child bearing and rearing years will have reduced ability to contribute to the family income.  This may also apply to other government programs.  Assuming that the average voter would object to the reduction for same sex marriages, this may be an argument to oppose such marriages.  RH  Arlington, VA	Marriage should be between a man and a woman	entailment
AbstRCT_15037889_01	No changes in the optic nerve head topography in the vertical cup-to-disc ratio and rim area measured by image-analysis techniques were observed in either group.	both showed similar effects on visual field performance.	neu
AbstRCT_20142538_01	FCLT was associated with greater percentage reductions in diurnal IOP levels and a greater likelihood of achieving lower mean diurnal IOP levels.	Fixed-combination latanoprost-timolol therapy is as safe and effective in lowering IOP in patients with either ocular hypertension or glaucoma as monotherapy with latanoprost or timolol.	neu
UKP_cloning_1006	Cloning should be considered as a promising opportunity for human development.	Human cloning for so-called therapeutic purposes is completely unethical .	contradiction
NK_deb_0952	Yet that is just what we have been urged to do . When all the vague generalities are stripped away , nothing more is being offered by opponents of the Anderson amendment than an increase in the public assistance program to provide some increased medical care for the indigent . The committee bill does improve our public assistance to the most needy .	They are : ( 1 ) Hospitalization up to 120 days ; ( 2 ) Nursing home care up to 240 days ; ( 3 ) Nursing and other health services at home up to 360 days ; ( 4 ) Outpatient diagnostic services . Such a program will be soundly financed ; it will provide a balanced program of basic health services ; it will relieve the burden upon our hospitals by providing incentives for nonhospital care ; it emphasizes preventive medical care ; and it tends to reduce the overall cost of the program by using less expensive yet more effective medical techniques . Enactment of this legislation during the present session will be a fitting climax to this 25th anniversary of the Social Security Act and mark a historic step forward in sustaining the dignity and self-reliance of our Nation 's senior citizens .	neu
